Comparator,Function,U,PValue,SCHO_Mean,Comparator_Mean,SCHO_Median,Comparator_Median,MeanRankDelta_SCHO_minus_Comparator,Symbol
ALO,F5,26.0,3.8201597819993253e-10,28.28397508632145,252.01876880373092,28.64996281544036,175.64758706826728,-28.266666666666666,+
ALO,F6,747.0,1.167436036255161e-05,0.30580962071749707,0.0006920791321771151,0.03765921359450068,0.0004668253277263024,19.799999999999997,-
ALO,F7,0.0,3.019859359162157e-11,0.00011104732198866423,0.3672165617827646,9.083376248303354e-05,0.36048897915083283,-30.0,+
ALO,F8,310.0,0.033034346910846786,-7330.6879735550465,-5719.80974250415,-5971.476683462198,-5417.6747559417545,-9.333333333333332,+
ALO,F9,0.0,1.2117803970059759e-12,0.0,63.18032901473087,0.0,58.703250437013054,-30.0,+
ALO,F10,0.0,1.2117803970059759e-12,4.440892098500626e-16,7.383242547032597,4.440892098500626e-16,5.733639806504399,-30.0,+
ALO,F11,0.0,1.2117803970059759e-12,0.0,0.06842628816706035,0.0,0.06874320708275461,-30.0,+
ALO,F12,0.0,3.019859359162157e-11,0.27797407424104503,17.120202227088626,1.3293752101512104e-06,16.905072390041987,-30.0,+
ALO,F13,46.0,2.438626624144956e-09,1.349836846029414,49.00580663806559,1.7544567025241515,53.89296175420052,-26.933333333333334,+
ALO,F14,519.0,0.3104538275998576,3.5386512291585395,3.190088272147365,0.9980038385337332,1.9920309002207168,4.599999999999998,~
ALO,F15,0.0,3.019859359162157e-11,0.000327086928171355,0.001635891180304028,0.0003211329667508688,0.0011041422314110377,-30.0,+
ALO,F16,900.0,3.017966798490446e-11,-1.0316284300630985,-1.0316284534897433,-1.0316284384435512,-1.0316284534897726,30.0,-
ALO,F17,900.0,2.995340313113173e-11,0.3978903317325324,0.3978873577298144,0.39788944539483406,0.39788735772979766,30.0,-
ALO,F18,900.0,3.017966798490446e-11,7.581967229943165,3.000000000000204,3.000002359612611,3.0000000000000453,30.0,-
ALO,F19,900.0,3.017966798490446e-11,-3.8618902001976454,-3.8627797873324488,-3.8627731630460733,-3.8627797873325864,30.0,-
ALO,F20,659.0,0.0020523338723804135,-3.268115527450003,-3.2783982572542345,-3.321617941744566,-3.3223680114144827,13.933333333333334,-
ALO,F21,342.0,0.11198687208268976,-8.796057576788062,-6.031436363911404,-10.146243784186378,-5.077984934612763,-7.200000000000003,~
ALO,F22,312.0,0.04206682132383563,-9.33642620256563,-6.02763707308083,-10.395847233756049,-5.087671825044779,-9.200000000000003,+
ALO,F23,452.0,0.9823070530800847,-9.125356316648064,-6.840821555492652,-10.531793950747328,-5.175646741632895,0.13333333333333286,~
SCA,F1,0.0,1.2117803970059759e-12,0.0,8.373641374689887,0.0,3.545533696228373,-30.0,+
SCA,F2,0.0,1.2117803970059759e-12,0.0,0.015020482006093166,0.0,0.004926270953281214,-30.0,+
SCA,F3,0.0,1.2117803970059759e-12,0.0,9854.517850122926,0.0,10390.957700610148,-30.0,+
SCA,F4,0.0,1.2117803970059759e-12,0.0,32.82703404278207,0.0,32.22262941570814,-30.0,+
SCA,F5,0.0,3.019859359162157e-11,28.28397508632145,23107.412829081248,28.64996281544036,6689.327704239544,-30.0,+
SCA,F6,0.0,3.019859359162157e-11,0.30580962071749707,17.101974287492286,0.03765921359450068,8.752560020008236,-30.0,+
SCA,F7,0.0,3.019859359162157e-11,0.00011104732198866423,0.17004845196972343,9.083376248303354e-05,0.09537289177917699,-30.0,+
SCA,F8,4.0,4.504322112705282e-11,-7330.6879735550465,-3759.1563523022164,-5971.476683462198,-3771.6377231524716,-29.733333333333334,+
SCA,F9,0.0,1.2117803970059759e-12,0.0,33.623109752848364,0.0,27.10032511524162,-30.0,+
SCA,F10,0.0,1.2117803970059759e-12,4.440892098500626e-16,13.406721071252436,4.440892098500626e-16,20.03566020279776,-30.0,+
SCA,F11,0.0,1.2117803970059759e-12,0.0,0.9831361554391578,0.0,1.0125791540122646,-30.0,+
SCA,F12,9.0,7.389082518022347e-11,0.27797407424104503,21733.866185230392,1.3293752101512104e-06,10.576325353860838,-29.400000000000002,+
SCA,F13,0.0,3.019859359162157e-11,1.349836846029414,259066.85515907203,1.7544567025241515,910.7039797452983,-30.0,+
SCA,F14,308.0,0.036428456739051436,3.5386512291585395,1.8586190079098122,0.9980038385337332,1.0024605210524236,-9.466666666666669,+
SCA,F15,0.0,3.019859359162157e-11,0.000327086928171355,0.0011111708860335654,0.0003211329667508688,0.001126534279695611,-30.0,+
SCA,F16,10.0,8.152744512218774e-11,-1.0316284300630985,-1.03158851662976,-1.0316284384435512,-1.0315994695369806,-29.33333333333333,+
SCA,F17,0.0,3.019859359162157e-11,0.3978903317325324,0.40014664742945527,0.39788944539483406,0.39895529112274186,-30.0,+
SCA,F18,233.0,0.0013703325610487653,7.581967229943165,3.000101450045904,3.000002359612611,3.0000742980678243,-14.466666666666669,+
SCA,F19,24.0,3.158889488129529e-10,-3.8618902001976454,-3.854371134386119,-3.8627731630460733,-3.8540749888893684,-28.400000000000002,+
SCA,F20,17.0,1.6132250444697864e-10,-3.268115527450003,-2.8673093297120844,-3.321617941744566,-3.0104879971532346,-28.866666666666664,+
SCA,F21,0.0,3.019859359162157e-11,-8.796057576788062,-2.2309451678475587,-10.146243784186378,-0.8815074257195575,-30.0,+
SCA,F22,6.0,5.494052450965186e-11,-9.33642620256563,-2.9756746889284806,-10.395847233756049,-3.160789094468899,-29.599999999999998,+
SCA,F23,61.0,9.26028739563309e-09,-9.125356316648064,-3.9833114583979152,-10.531793950747328,-4.4540263414750045,-25.933333333333334,+
SSA,F1,0.0,1.2117803970059759e-12,0.0,2.5249608620220583e-07,0.0,8.037027207654605e-08,-30.0,+
SSA,F2,0.0,1.2117803970059759e-12,0.0,2.0984115034833097,0.0,1.465848988201986,-30.0,+
SSA,F3,0.0,1.2117803970059759e-12,0.0,1623.1039143912458,0.0,1576.9117396548397,-30.0,+
SSA,F4,0.0,1.2117803970059759e-12,0.0,13.244152731052923,0.0,13.206309595597599,-30.0,+
SSA,F5,147.0,7.738685688576608e-06,28.28397508632145,316.91423527611653,28.64996281544036,79.45248345390394,-20.200000000000003,+
SSA,F6,900.0,3.019859359162157e-11,0.30580962071749707,1.8021797824166682e-07,0.03765921359450068,8.988269701963623e-08,30.0,-
SSA,F7,0.0,3.019859359162157e-11,0.00011104732198866423,0.17420706717851722,9.083376248303354e-05,0.16980717312053076,-30.0,+
SSA,F8,549.0,0.14531912724086543,-7330.6879735550465,-7574.74470996979,-5971.476683462198,-7566.848197286989,6.599999999999998,~
SSA,F9,0.0,1.2117803970059759e-12,0.0,56.579900634030345,0.0,54.72267003132363,-30.0,+
SSA,F10,0.0,1.2117803970059759e-12,4.440892098500626e-16,2.8411743288863436,4.440892098500626e-16,2.8870862509243804,-30.0,+
SSA,F11,0.0,1.2117803970059759e-12,0.0,0.018415543810313764,0.0,0.017601203244190455,-30.0,+
SSA,F12,0.0,3.019859359162157e-11,0.27797407424104503,6.977578786431897,1.3293752101512104e-06,6.275255083239109,-30.0,+
SSA,F13,94.0,1.473317499078265e-07,1.349836846029414,17.829293900969297,1.7544567025241515,14.350755071164192,-23.733333333333334,+
SSA,F14,900.0,1.8697363304978778e-11,3.5386512291585395,0.9980038377944498,0.9980038385337332,0.99800383779445,30.0,-
SSA,F15,3.0,4.0771648468253186e-11,0.000327086928171355,0.0008422683785653082,0.0003211329667508688,0.000779139122199035,-29.799999999999997,+
SSA,F16,900.0,3.017966798490446e-11,-1.0316284300630985,-1.0316284534898594,-1.0316284384435512,-1.0316284534898665,30.0,-
SSA,F17,900.0,2.976603244829892e-11,0.3978903317325324,0.39788735772976386,0.39788944539483406,0.3978873577297479,30.0,-
SSA,F18,900.0,3.017966798490446e-11,7.581967229943165,3.000000000000171,3.000002359612611,3.0000000000000706,30.0,-
SSA,F19,900.0,3.019859359162157e-11,-3.8618902001976454,-3.862779787328964,-3.8627731630460733,-3.862779787332404,30.0,-
SSA,F20,254.0,0.003848067983551401,-3.268115527450003,-3.2097506237531577,-3.321617941744566,-3.197602967489816,-13.066666666666666,+
SSA,F21,518.0,0.31830422747222764,-8.796057576788062,-6.993157132561174,-10.146243784186378,-10.153199678935927,4.533333333333331,~
SSA,F22,696.0,0.0002838866568788881,-9.33642620256563,-8.697866158115785,-10.395847233756049,-10.402940566749798,16.400000000000002,-
SSA,F23,730.0,3.592342311269681e-05,-9.125356316648064,-8.98856281084138,-10.531793950747328,-10.536409816628524,18.666666666666668,-
AOA,F1,450.0,1.0,0.0,0.0,0.0,0.0,0.0,~
AOA,F2,450.0,1.0,0.0,0.0,0.0,0.0,0.0,~
AOA,F3,450.0,1.0,0.0,0.0,0.0,0.0,0.0,~
AOA,F4,450.0,1.0,0.0,0.0,0.0,0.0,0.0,~
AOA,F5,0.0,1.2117803970059759e-12,28.28397508632145,29.0,28.64996281544036,29.0,-30.0,+
AOA,F6,0.0,3.160214693348856e-12,0.30580962071749707,7.487422081888186,0.03765921359450068,7.5,-30.0,+
AOA,F7,571.0,0.07477045534699381,0.00011104732198866423,6.493966782116593e-05,9.083376248303354e-05,5.6118732952969985e-05,8.066666666666666,~
AOA,F8,0.0,3.019859359162157e-11,-7330.6879735550465,-2761.9297805496503,-5971.476683462198,-2709.5058386976616,-30.0,+
AOA,F9,450.0,1.0,0.0,0.0,0.0,0.0,0.0,~
AOA,F10,450.0,1.0,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,0.0,~
AOA,F11,450.0,1.0,0.0,0.0,0.0,0.0,0.0,~
AOA,F12,3.0,7.209479635243741e-12,0.27797407424104503,1.6515848215112556,1.3293752101512104e-06,1.668971097219577,-29.799999999999997,+
AOA,F13,0.0,1.2117803970059759e-12,1.349836846029414,3.0,1.7544567025241515,3.0,-30.0,+
AOA,F14,39.0,3.5387678421199267e-10,3.5386512291585395,11.44099018855164,0.9980038385337332,12.670505812885983,-27.400000000000002,+
AOA,F15,0.0,2.2622576527640783e-11,0.000327086928171355,0.10632991372960951,0.0003211329667508688,0.13715744880863648,-30.0,+
AOA,F16,0.0,2.8646038339251135e-11,-1.0316284300630985,-0.48681033213198516,-1.0316284384435512,-0.5723930668790964,-30.0,+
AOA,F17,0.0,3.019859359162157e-11,0.3978903317325324,0.4108245558789635,0.39788944539483406,0.4077422499473604,-30.0,+
