Function,Algorithm,Best,Mean,STD_sample_ddof1,Rank_by_Mean,MeanRank_23,FinalRank
F4,AOA,0.0,0.0,0.0,2.0,5.608695652173913,7.0
F4,RSA,0.0,0.0,0.0,2.0,4.608695652173913,4.0
F4,SHO,3.541036167893211e-95,1.8786940100097197e-89,3.911261013797652e-89,4.0,6.130434782608695,8.0
F4,GJO,2.8590109953717053e-18,9.321039585839657e-16,2.2999123462047873e-15,5.0,4.217391304347826,3.0
F5,SCHO,26.056079496446586,28.28397508632145,0.7170736582065113,4.0,2.869565217391304,1.0
F5,GWO,25.757382486116324,26.897595543384316,0.7689879282353511,2.0,4.086956521739131,2.0
F5,ALO,27.30501916263031,252.01876880373092,241.84755992134677,7.0,5.478260869565218,6.0
F5,SCA,106.59777567675538,23107.412829081248,34666.23639016892,9.0,7.3478260869565215,9.0
F5,SSA,24.067574053317514,316.91423527611653,625.3681640060571,8.0,4.6521739130434785,5.0
F5,AOA,29.0,29.0,0.0,6.0,5.608695652173913,7.0
F5,RSA,5.485958136846181e-26,17.46618393606682,14.355135220447863,1.0,4.608695652173913,4.0
F5,SHO,28.815120161976175,28.929499847009076,0.028673058704879902,5.0,6.130434782608695,8.0
F5,GJO,26.24229936711086,27.77854788017742,0.7361648859943112,3.0,4.217391304347826,3.0
F6,SCHO,9.254089880824617e-06,0.30580962071749707,0.712376753322505,3.0,2.869565217391304,1.0
F6,GWO,0.00010423191477717052,0.660144056030857,0.3657138027239516,4.0,4.086956521739131,2.0
F6,ALO,0.00019269515052777793,0.0006920791321771151,0.0008492450457138873,2.0,5.478260869565218,6.0
F6,SCA,4.370264569674529,17.101974287492286,21.003715315180653,9.0,7.3478260869565215,9.0
F6,SSA,3.5061310337290794e-08,1.8021797824166682e-07,1.9454555737767657e-07,1.0,4.6521739130434785,5.0
F6,AOA,7.29748559090074,7.487422081888186,0.046383224637145684,8.0,5.608695652173913,7.0
F6,RSA,6.72616829753725,7.320259413335436,0.27283420267577513,7.0,4.608695652173913,4.0
F6,SHO,4.992292700467508,5.802005336281429,0.3859902020175668,6.0,6.130434782608695,8.0
F6,GJO,1.7489230301458472,2.6658939877684893,0.5783802031226559,5.0,4.217391304347826,3.0
F7,SCHO,2.747750069698185e-07,0.00011104732198866423,9.425987738273388e-05,3.0,2.869565217391304,1.0
F7,GWO,0.0003626393912162953,0.002104954940598677,0.0009420130851671229,6.0,4.086956521739131,2.0
F7,ALO,0.2001941479806472,0.3672165617827646,0.12570627394215228,9.0,5.478260869565218,6.0
F7,SCA,0.008521124368704742,0.17004845196972343,0.2189469238295066,7.0,7.3478260869565215,9.0
F7,SSA,0.05990652335646369,0.17420706717851722,0.06428856671862222,8.0,4.6521739130434785,5.0
F7,AOA,2.747750069698185e-07,6.493966782116593e-05,5.042477785165264e-05,1.0,5.608695652173913,7.0
F7,RSA,2.747750069698185e-07,0.00015089393084100514,0.0001164036314989026,4.0,4.608695652173913,4.0
F7,SHO,1.0468822173596278e-06,6.764424512194067e-05,4.8115771813828204e-05,2.0,6.130434782608695,8.0
F7,GJO,1.99096757774336e-05,0.0005926206902335441,0.0005825397215197264,5.0,4.217391304347826,3.0
F8,SCHO,-12569.042163397447,-7330.6879735550465,2735.461573464441,2.0,2.869565217391304,1.0
F8,GWO,-7424.167106642665,-5798.071281670803,701.2794651727952,3.0,4.086956521739131,2.0
F8,ALO,-9549.101380801358,-5719.80974250415,926.9129026713856,4.0,5.478260869565218,6.0
F8,SCA,-4383.733530041036,-3759.1563523022164,299.12442228032234,7.0,7.3478260869565215,9.0
F8,SSA,-8975.191189736157,-7574.74470996979,785.13904083984,1.0,4.6521739130434785,5.0
F8,AOA,-3852.8970242173737,-2761.9297805496503,485.495648595075,9.0,5.608695652173913,7.0
F8,RSA,-5647.311688012741,-5367.888710059571,428.20689070844173,5.0,4.608695652173913,4.0
F8,SHO,-4071.801882980085,-2975.1441260620677,558.2225601250724,8.0,6.130434782608695,8.0
F8,GJO,-6341.493510093744,-4002.014326890116,1210.4468786218486,6.0,4.217391304347826,3.0
F9,SCHO,0.0,0.0,0.0,3.0,2.869565217391304,1.0
F9,GWO,0.0,3.2791628819010947,3.9332269697525484,6.0,4.086956521739131,2.0
F9,ALO,31.838875348335378,63.18032901473087,23.54038176954411,9.0,5.478260869565218,6.0
F9,SCA,0.04199870205833989,33.623109752848364,27.924968049613014,7.0,7.3478260869565215,9.0
F9,SSA,26.863874437602295,56.579900634030345,17.57001601302774,8.0,4.6521739130434785,5.0
F9,AOA,0.0,0.0,0.0,3.0,5.608695652173913,7.0
F9,RSA,0.0,0.0,0.0,3.0,4.608695652173913,4.0
F9,SHO,0.0,0.0,0.0,3.0,6.130434782608695,8.0
F9,GJO,0.0,0.0,0.0,3.0,4.217391304347826,3.0
F10,SCHO,4.440892098500626e-16,4.440892098500626e-16,0.0,2.0,2.869565217391304,1.0
F10,GWO,6.794564910705958e-14,1.0063061495202419e-13,1.7213571298283342e-14,6.0,4.086956521739131,2.0
F10,ALO,2.2210700476661676,7.383242547032597,4.683367319598465,8.0,5.478260869565218,6.0
F10,SCA,0.04311065742811637,13.406721071252436,8.81591447687847,9.0,7.3478260869565215,9.0
F10,SSA,0.6288050777036216,2.8411743288863436,0.9040534622985789,7.0,4.6521739130434785,5.0
F10,AOA,4.440892098500626e-16,4.440892098500626e-16,0.0,2.0,5.608695652173913,7.0
F10,RSA,4.440892098500626e-16,4.440892098500626e-16,0.0,2.0,4.608695652173913,4.0
F10,SHO,4.440892098500626e-16,5.625129991434126e-16,6.486338074120657e-16,4.0,6.130434782608695,8.0
F10,GJO,3.9968028886505635e-15,7.0758214102776645e-15,2.0298303970042964e-15,5.0,4.217391304347826,3.0
F11,SCHO,0.0,0.0,0.0,3.0,2.869565217391304,1.0
F11,GWO,0.0,0.002842732105494498,0.006919159064148363,6.0,4.086956521739131,2.0
F11,ALO,0.021411076972229215,0.06842628816706035,0.030653720886128142,8.0,5.478260869565218,6.0
F11,SCA,0.2683753240886966,0.9831361554391578,0.2273143187683399,9.0,7.3478260869565215,9.0
F11,SSA,0.0009058611311181242,0.018415543810313764,0.010648546789878583,7.0,4.6521739130434785,5.0
F11,AOA,0.0,0.0,0.0,3.0,5.608695652173913,7.0
F11,RSA,0.0,0.0,0.0,3.0,4.608695652173913,4.0
F11,SHO,0.0,0.0,0.0,3.0,6.130434782608695,8.0
F11,GJO,0.0,0.0,0.0,3.0,4.217391304347826,3.0
F12,SCHO,2.4508597262262492e-09,0.27797407424104503,0.45750534993647596,3.0,2.869565217391304,1.0
F12,GWO,0.017366526754018105,0.04737360661521252,0.01850652757070682,1.0,4.086956521739131,2.0
F12,ALO,7.728594037513358,17.120202227088626,6.207507552844573,8.0,5.478260869565218,6.0
F12,SCA,0.5989582876229367,21733.866185230392,67154.36689550627,9.0,7.3478260869565215,9.0
F12,SSA,2.806686629284442,6.977578786431897,2.7793180976118164,7.0,4.6521739130434785,5.0
F12,AOA,1.3690521731208067,1.6515848215112556,0.0568020253291019,6.0,5.608695652173913,7.0
F12,RSA,0.4021964358534665,1.3154908932821952,0.42667581882770894,5.0,4.608695652173913,4.0
F12,SHO,0.4643836900223938,0.8277594375673689,0.18262094546251106,4.0,6.130434782608695,8.0
F12,GJO,0.09692887322475877,0.23310582055774492,0.1379928197993866,2.0,4.217391304347826,3.0
F13,SCHO,1.427470895374975e-07,1.349836846029414,1.0009939459073949,3.0,2.869565217391304,1.0
