Dimension,Comparator,Function,U,PValue,SCHO_Mean,Comparator_Mean,SCHO_Median,Comparator_Median,MeanRankDelta_SCHO_minus_Comparator,Symbol
100,SCA,F3,0.0,1.2117803970059759e-12,0.0,240336.59025749654,0.0,232716.26654860826,-30.0,+
100,SCA,F4,0.0,1.7894851037736772e-11,6.35646047068111e-251,90.02288983570857,0.0,89.89618862044833,-30.0,+
100,SCA,F5,0.0,3.019859359162157e-11,98.89215441081205,111426647.2976766,98.94814535317644,120506056.02506536,-30.0,+
100,SCA,F6,0.0,3.019859359162157e-11,12.667422784802788,10756.623405621276,16.487427885504786,8000.495706848766,-30.0,+
100,SCA,F7,0.0,3.019859359162157e-11,7.193890143068213e-05,142.20571271886152,4.580303732113537e-05,120.0908480009021,-30.0,+
100,SCA,F8,0.0,3.019859359162157e-11,-14398.201548524758,-6789.424871756362,-11401.3507928121,-6771.645551777817,-30.0,+
100,SCA,F9,0.0,1.2117803970059759e-12,0.0,299.3796244349925,0.0,273.5690050260195,-30.0,+
100,SCA,F10,0.0,1.2117803970059759e-12,4.440892098500626e-16,19.173729595686805,4.440892098500626e-16,20.589599644702645,-30.0,+
100,SCA,F11,0.0,1.2117803970059759e-12,0.0,95.91468599560446,0.0,82.8223406563865,-30.0,+
100,SCA,F12,0.0,3.019859359162157e-11,0.9171758559995229,330309019.67509943,1.1222029139351561,299312085.6124863,-30.0,+
100,SCA,F13,0.0,3.019859359162157e-11,9.880470448327909,658920250.2896582,9.893533745494278,580887589.2233629,-30.0,+
100,SSA,F1,0.0,1.2117803970059759e-12,0.0,1386.4035930013538,0.0,1374.6294089975859,-30.0,+
100,SSA,F2,0.0,1.2709849497708895e-11,4.27114858166035e-262,46.52990473805233,0.0,45.53370901020624,-30.0,+
100,SSA,F3,0.0,1.2117803970059759e-12,0.0,56382.99462824964,0.0,51624.345912758785,-30.0,+
100,SSA,F4,0.0,1.7894851037736772e-11,6.35646047068111e-251,29.126925778892495,0.0,28.31912613683634,-30.0,+
100,SSA,F5,0.0,3.019859359162157e-11,98.89215441081205,154004.90485461277,98.94814535317644,135606.18076527904,-30.0,+
100,SSA,F6,0.0,3.019859359162157e-11,12.667422784802788,1420.9699925800157,16.487427885504786,1499.0818685621928,-30.0,+
100,SSA,F7,0.0,3.019859359162157e-11,7.193890143068213e-05,2.62110438580641,4.580303732113537e-05,2.4766317227974346,-30.0,+
100,SSA,F8,754.0,7.220829977875534e-06,-14398.201548524758,-21622.554468937746,-11401.3507928121,-21210.50997590471,20.266666666666666,-
100,SSA,F9,0.0,1.2117803970059759e-12,0.0,245.85823467951562,0.0,240.3870638514432,-30.0,+
100,SSA,F10,0.0,1.2117803970059759e-12,4.440892098500626e-16,10.023823815169296,4.440892098500626e-16,9.953996208992873,-30.0,+
100,SSA,F11,0.0,1.2117803970059759e-12,0.0,13.477632337012189,0.0,13.371664680978274,-30.0,+
100,SSA,F12,0.0,3.019859359162157e-11,0.9171758559995229,36.33885358772576,1.1222029139351561,35.64420494322097,-30.0,+
100,SSA,F13,0.0,3.019859359162157e-11,9.880470448327909,5228.237920225631,9.893533745494278,1299.3701387089761,-30.0,+
100,AOA,F1,450.0,1.0,0.0,0.0,0.0,0.0,0.0,~
100,AOA,F2,600.0,0.0006616739106290902,4.27114858166035e-262,0.0,0.0,0.0,10.0,-
100,AOA,F3,450.0,1.0,0.0,0.0,0.0,0.0,0.0,~
100,AOA,F4,645.0,6.609642240785548e-05,6.35646047068111e-251,0.0,0.0,0.0,13.0,-
100,AOA,F5,0.0,1.2117803970059759e-12,98.89215441081205,99.0,98.94814535317644,99.0,-30.0,+
100,AOA,F6,0.0,2.3656735830142044e-12,12.667422784802788,24.995069906309833,16.487427885504786,25.0,-30.0,+
100,AOA,F7,478.5,0.6788120498560979,7.193890143068213e-05,6.399854999849334e-05,4.580303732113537e-05,4.364542338580746e-05,1.8999999999999986,~
100,AOA,F8,0.0,3.019859359162157e-11,-14398.201548524758,-5334.712238323557,-11401.3507928121,-5288.027252246653,-30.0,+
100,AOA,F9,450.0,1.0,0.0,0.0,0.0,0.0,0.0,~
100,AOA,F10,450.0,1.0,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,0.0,~
100,AOA,F11,450.0,1.0,0.0,0.0,0.0,0.0,0.0,~
100,AOA,F12,0.0,1.2117803970059759e-12,0.9171758559995229,1.3253594007331935,1.1222029139351561,1.325359400733194,-30.0,+
