Variant,Function,Runs,Dimension,Best,Average,STD_sample_ddof1,Median,Worst
V3,F16,30,2,-1.0316284528078135,-1.0316284300630985,2.410400086745882e-08,-1.0316284384435515,-1.0316283570820304
V3,F17,30,2,0.39788743113709835,0.39789035274202955,2.959685631071994e-06,0.39788944539483406,0.39789845819345615
V3,F18,30,2,3.0000000138307645,6.654051840375595,15.09843231244286,3.0000023596126235,84.00012105996748
V3,F19,30,3,-3.862779761117942,-3.861890200197645,0.002368450568503489,-3.8627731630460733,-3.8549007510179267
V3,F20,30,6,-3.3221333126080097,-3.268115527450003,0.07706500785902952,-3.3216179417445657,-3.0768526050382383
V3,F21,30,4,-10.1531975216928,-8.794121777653869,2.2790219556977283,-10.13965062644875,-5.05505613091625
V3,F22,30,4,-10.402832488652301,-9.33764993827754,2.1540207376932936,-10.397782353599478,-5.087666131789366
V3,F23,30,4,-10.536279202366446,-9.125149843967568,2.6418685048120225,-10.531440139033887,-2.869808104429817
V4,F1,30,30,0.0,0.0,0.0,0.0,0.0
V4,F2,30,30,0.0,0.0,0.0,0.0,0.0
V4,F3,30,30,0.0,0.0,0.0,0.0,0.0
V4,F4,30,30,0.0,0.0,0.0,0.0,0.0
V4,F5,30,30,26.865712511926386,28.08224776898346,0.6980070715385875,28.005477688706343,28.988388789213875
V4,F6,30,30,1.9416580383661224e-07,0.8116872096733059,1.2809909531032024,0.08880751796305045,3.5541925334316877
V4,F7,30,30,4.9591094465339935e-06,0.00011485531679287589,0.00011401812803455594,7.648843468704718e-05,0.00057313278933524
V4,F8,30,30,-12565.106048738397,-7191.5671369742295,2635.756576884712,-5987.220487110742,-4288.84459480688
V4,F9,30,30,0.0,0.0,0.0,0.0,0.0
V4,F10,30,30,4.440892098500626e-16,4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16
V4,F11,30,30,0.0,0.0,0.0,0.0,0.0
V4,F12,30,30,3.6824287735490244e-12,0.17314854382935504,0.34513234872243465,3.98080222342231e-07,1.3643042195820714
V4,F13,30,30,1.669158587251713e-07,1.0250295212546676,1.0000506929229593,0.3714436731394096,2.606817083526717
V4,F14,30,2,0.9980038377944699,2.8927578521719783,3.4458488878991735,0.9980038384280194,12.670505811135618
V4,F15,30,4,0.00030772044288205285,0.0003287969766299266,1.9937600233667862e-05,0.0003187805361212088,0.00036882971794565067
V4,F16,30,2,-1.0316284522914367,-1.031628408481542,7.164011827990503e-08,-1.0316284289528308,-1.0316281399572238
V4,F17,30,2,0.39788747506731603,0.397892769487829,1.1498250505143327e-05,0.3978899495718222,0.39795162826318986
V4,F18,30,2,3.000000016806393,7.3853777721680025,15.403402004412774,3.0000024599524835,84.00031615538957
V4,F19,30,3,-3.8627787865096512,-3.861719084679507,0.002707957534306582,-3.8627681110978402,-3.8548925496107547
V4,F20,30,6,-3.3221402175076507,-3.2672438115158946,0.07863688985274546,-3.321475016125998,-3.076671938194092
V4,F21,30,4,-10.15318710309214,-8.796799996906282,2.2788724546190533,-10.149198597449036,-5.055158194475345
V4,F22,30,4,-10.402784102512527,-9.33829352449104,2.152155270951525,-10.398925518614265,-5.087253238807799
V4,F23,30,4,-10.536328515926309,-9.380316218951974,2.370857730208707,-10.532450016213748,-2.8710911680949662
V5,F1,30,30,0.0,0.0,0.0,0.0,0.0
V5,F2,30,30,0.0,0.0,0.0,0.0,0.0
V5,F3,30,30,0.0,0.0,0.0,0.0,0.0
V5,F4,30,30,0.0,0.0,0.0,0.0,0.0
V5,F5,30,30,26.056079496446582,28.284007142413234,0.7171051570207906,28.64996281544036,28.985068500964097
V5,F6,30,30,3.890118198444954e-07,0.3103167427967026,0.7109752613186275,0.03703611829082909,2.795625823702431
V5,F7,30,30,4.9591094465339935e-06,0.00011541545651241324,0.0001138745391933453,7.908190161015627e-05,0.00057313278933524
V5,F8,30,30,-12559.347206011582,-7227.163626976374,2520.2934566756803,-6018.754693224637,-4098.901904184803
V5,F9,30,30,0.0,0.0,0.0,0.0,0.0
V5,F10,30,30,4.440892098500626e-16,4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16
V5,F11,30,30,0.0,0.0,0.0,0.0,0.0
V5,F12,30,30,5.983758275361446e-10,0.27797405883395937,0.4575053574611848,1.2513941981020085e-06,1.6021134641480663
V5,F13,30,30,4.3639694361393514e-07,1.3497475603877733,1.0008282454567183,1.754456702524152,2.9116761086795964
V5,F14,30,2,0.9980038378173773,3.5386512291834813,4.246782794331018,0.9980038387991956,12.670505811135914
V5,F15,30,4,0.0003077648582130735,0.00032762288913161687,2.1473044619890884e-05,0.0003199226807017685,0.0003829817251045109
V5,F16,30,2,-1.0316284528078135,-1.0316284300630985,2.410400086745882e-08,-1.0316284384435515,-1.0316283570820304
V5,F17,30,2,0.3978873779417498,0.3978903496283569,2.9628688855292344e-06,0.39788944539483406,0.39789845819345615
V5,F18,30,2,3.0000000138307645,7.513364230743815,15.508369066336845,3.0000023596126235,84.00012105996748
V5,F19,30,3,-3.862779761117942,-3.861890200197645,0.002368450568503489,-3.8627731630460733,-3.8549007510179267
V5,F20,30,6,-3.3221333126080097,-3.268115527450003,0.07706500785902952,-3.3216179417445657,-3.0768526050382383
V5,F21,30,4,-10.153197499556516,-8.795566919654778,2.27954005332018,-10.144668676632595,-5.05514902826489
V5,F22,30,4,-10.402839486994061,-9.337569593983945,2.153996042901834,-10.396950431913403,-5.087451050755503
V5,F23,30,4,-10.53621780532751,-9.125268177040002,2.6410473328875566,-10.533174411237852,-2.869782586505395
V6,F1,30,30,0.0,0.0,0.0,0.0,0.0
V6,F2,30,30,0.0,0.0,0.0,0.0,0.0
V6,F3,30,30,0.0,0.0,0.0,0.0,0.0
V6,F4,30,30,0.0,0.0,0.0,0.0,0.0
V6,F5,30,30,26.341513525624446,28.258317715942628,0.6796457552280802,28.592271225452706,28.98846614767848
V6,F6,30,30,3.829408328716305e-08,1.0397081139138322,1.4680417553192435,0.06158853945932581,3.7031313091533518
V6,F7,30,30,4.9591094465339935e-06,0.0001148553167920684,0.00011401812803484586,7.648843467436417e-05,0.00057313278933524
V6,F8,30,30,-12569.486060393981,-6952.895672437986,2762.4522782238573,-5708.63893327644,-4268.084874022588
V6,F9,30,30,0.0,0.0,0.0,0.0,0.0
V6,F10,30,30,4.440892098500626e-16,4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16
V6,F11,30,30,0.0,0.0,0.0,0.0,0.0
V6,F12,30,30,4.766298309794795e-09,0.11627943847312436,0.2046172474058508,4.1707151708306943e-07,0.6570459980787409
V6,F13,30,30,9.024095956754564e-08,1.2001666930158277,0.8973327474925434,1.4949313726498255,2.6551244500599642
V6,F14,30,2,0.9980038377945093,2.962878926731653,3.4469166071643538,1.4950173695584954,12.670505811135913
V6,F15,30,4,0.00030764502627322426,0.00033628326921047926,3.104372412496279e-05,0.00032673747061206886,0.00045755089366218536
V6,F16,30,2,-1.0316284526711132,-1.0316283245361222,1.7978753137739144e-07,-1.0316283978512413,-1.0316276799393753
V6,F17,30,2,0.39788740620817364,0.39789646426766023,1.273362197415635e-05,0.3978907415849138,0.39793523032519573
V6,F18,30,2,3.000000082739718,8.09633959083241,15.651865547159273,3.0000048508039887,84.00033121868695
V6,F19,30,3,-3.862775387390921,-3.8608831401953716,0.0032828954247842786,-3.8627486987345945,-3.854887964598386
V6,F20,30,6,-3.3220200153293415,-3.244581866046952,0.09654067074275066,-3.320798927124414,-3.0748147805854944
V6,F21,30,4,-10.153082652345553,-8.966732782480781,2.181586576562642,-10.150721521747103,-5.055182899532342
V6,F22,30,4,-10.40283827468341,-9.339724364942521,2.15325202707678,-10.397530728534656,-5.087655734142189
V6,F23,30,4,-10.536277743162287,-9.305305606020603,2.544669462070285,-10.533180224335817,-2.869922613583684
V7,F1,30,30,0.0,0.0,0.0,0.0,0.0
V7,F2,30,30,0.0,0.0,0.0,0.0,0.0
V7,F3,30,30,0.0,0.0,0.0,0.0,0.0
V7,F4,30,30,0.0,2.428939904582058e-291,0.0,0.0,7.286819713746175e-290
V7,F5,30,30,26.714429656082256,28.404814726183417,0.5734227994794057,28.65158113107782,28.897317506794316
V7,F6,30,30,1.2951271307673612e-05,0.8558658286365579,1.2677201103270728,0.07753396937470414,3.8773226910935397
V7,F7,30,30,4.9591094465339935e-06,0.00011541545651241335,0.00011387453919334531,7.908190161015627e-05,0.00057313278933524
V7,F8,30,30,-12497.788360394108,-7276.891859280743,2365.541787910571,-6052.528241817905,-4294.589234643324
V7,F9,30,30,0.0,0.0,0.0,0.0,0.0
V7,F10,30,30,4.440892098500626e-16,4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16
V7,F11,30,30,0.0,0.0,0.0,0.0,0.0
V7,F12,30,30,1.0621305241147076e-08,0.2226108583398145,0.3752434426537908,1.4218539702412977e-06,1.4874242401216866
V7,F13,30,30,1.630215323992265e-07,1.2626044789747237,0.9812944201919391,1.818664934692824,2.532741103329242
V7,F14,30,2,0.998003837795133,3.5386512291331416,4.246782794362092,0.9980038384788337,12.670505811135914
V7,F15,30,4,0.00030769357304927556,0.000327930416372118,2.3172315783669285e-05,0.0003210912533576209,0.0004263263424202268
V7,F16,30,2,-1.0316284525647772,-1.0316284316223165,2.4700573481028866e-08,-1.0316284401328417,-1.0316283494726954
V7,F17,30,2,0.39788743113709835,0.39788992438340265,2.3787717369244183e-06,0.39788922054779086,0.3978956232276971
V7,F18,30,2,3.0000000248123007,7.571159640792606,15.579208900753345,3.000001367932998,84.00029540261568
V7,F19,30,3,-3.862779761117942,-3.8619301270366697,0.0023244870110432424,-3.862772652220392,-3.8549007510179267
V7,F20,30,6,-3.3222220203673887,-3.2675871824081377,0.07819186462683099,-3.321553566726913,-3.0768526050382383
V7,F21,30,4,-10.153198301932218,-8.295410169317218,2.726126364544942,-10.146136326552144,-2.626078578096249
V7,F22,30,4,-10.40285445982736,-9.084622388279653,2.4537144760622303,-10.399467754586787,-2.764660021999973
V7,F23,30,4,-10.53621623966511,-8.86713068226152,2.8655661401593786,-10.525832227791538,-2.7959752543903704
V8,F1,30,30,0.0,0.0,0.0,0.0,0.0
V8,F2,30,30,0.0,0.0,0.0,0.0,0.0
V8,F3,30,30,0.0,0.0,0.0,0.0,0.0
V8,F4,30,30,0.0,3.0224198533386025e-304,0.0,0.0,9.067259557607682e-303
V8,F5,30,30,26.351181741849448,28.286979615554937,0.6277674182253538,28.632058240558287,28.988135880018714
V8,F6,30,30,3.25258440245474e-06,0.5937972605037856,1.0018777127470826,0.08440036540817365,2.7891461844028185
V8,F7,30,30,4.9591094465339935e-06,0.00011541545666503008,0.00011387453982793962,7.908190161015627e-05,0.0005731327939137422
V8,F8,30,30,-12552.51080853434,-7941.516319527641,2785.735769120009,-7268.761300919053,-4293.792630227509
V8,F9,30,30,0.0,0.0,0.0,0.0,0.0
V8,F10,30,30,4.440892098500626e-16,4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16
V8,F11,30,30,0.0,0.0,0.0,0.0,0.0
V8,F12,30,30,1.3486930075139634e-08,0.18825249159907567,0.38167217443192275,1.111548929181967e-06,1.5557734374020105
V8,F13,30,30,8.086496437341177e-07,1.3235811358457146,1.0182483242619835,1.61630368173391,2.800902356015067
V8,F14,30,2,0.998003837795133,3.5386512291483476,4.246782794352695,0.9980038385339018,12.670505811135914
V8,F15,30,4,0.0003079987477767022,0.0003265626848674667,2.342305553776973e-05,0.00031829491183316534,0.0004306766014704754
V8,F16,30,2,-1.0316284525647772,-1.0316284296170708,2.6242853226446888e-08,-1.0316284390985113,-1.0316283494726954
V8,F17,30,2,0.39788743113709835,0.3978898929469515,2.3995107516532024e-06,0.39788922054779086,0.3978956232276971
V8,F18,30,2,3.0000000248123007,7.571164777840936,15.579215242293815,3.0000014328529545,84.00029540261568
V8,F19,30,3,-3.862779761117942,-3.8619299952685013,0.002324437645021019,-3.862772652220392,-3.8549007510179267
V8,F20,30,6,-3.3222220203673887,-3.267595141131736,0.07820492783436728,-3.3216377793630825,-3.076852605038247
V8,F21,30,4,-10.15310327532381,-8.294463329323438,2.7254630304196206,-10.144660671321692,-2.6260795512804824
V8,F22,30,4,-10.402857710904453,-9.083355754124613,2.4530056967416876,-10.396642182905145,-2.764660021999973
V8,F23,30,4,-10.536289558818899,-8.86716306514141,2.86601408843093,-10.528091092157048,-2.7959752543903704
V9,F1,30,30,0.0,7.645910705336211e-264,0.0,1.905738055538354e-294,1.391678695027163e-262
V9,F2,30,30,0.0,1.9912027231004588e-143,1.0312995476051169e-142,1.8776627453436333e-150,5.6531383668806424e-142
V9,F3,30,30,0.0,4.221089058169878e-250,0.0,3.015208557343678e-275,1.2659677572982851e-248
V9,F4,30,30,0.0,5.4020172604764546e-127,2.3445777757975644e-126,1.6857867493633042e-138,1.250121981338262e-125
V9,F5,30,30,26.50693618136848,27.896772682222753,0.6699134929407263,27.97050667742228,28.81182484656922
V9,F6,30,30,3.349185254453403e-05,0.9119580374692045,1.16377418253437,0.10926564281097542,3.0456887380134705
V9,F7,30,30,4.9591094465339935e-06,0.0001187169325704135,0.00012573617179263615,7.908190161060123e-05,0.0006583776540748376
V9,F8,30,30,-12542.281927143535,-6662.939954676286,2871.885657330346,-5125.3650231076035,-3686.1398251950245
V9,F9,30,30,0.0,0.0,0.0,0.0,0.0
V9,F10,30,30,4.440892098500626e-16,4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16
V9,F11,30,30,0.0,0.0,0.0,0.0,0.0
V9,F12,30,30,2.71910545064312e-07,0.006229068310965617,0.03411332817337299,7.824237750117127e-07,0.18684724870028024
V9,F13,30,30,3.574747005026718e-06,0.9855106865022074,0.7796335652470128,1.3763141587192573,2.0397388199266593
V9,F14,30,2,0.9980038377958993,2.1145910540899306,2.213964539288951,0.9980038385095455,12.67050581113562
V9,F15,30,4,0.00030984918483053484,0.00032156237966166263,2.3916263104632688e-05,0.00031450540025937325,0.00044067806676680797
V9,F16,30,2,-1.0316284517919998,-1.0316283280236092,1.7420287248888913e-07,-1.0316283918645204,-1.0316276013428582
V9,F17,30,2,0.3978875068298944,0.3978961344031115,1.1042899491211772e-05,0.39789158052874907,0.39794212282313524
V9,F18,30,2,3.0000000007568697,5.700004378832872,14.788526856461536,3.0000002735162647,84.00009864386297
V9,F19,30,3,-3.8627796112618364,-3.8612489723982026,0.003070983658231782,-3.862755461195488,-3.854894814297857
V9,F20,30,6,-3.321742874618991,-3.244933848534875,0.11305978214447818,-3.318647024949393,-2.8403876767867913
V9,F21,30,4,-10.153162998668963,-8.204714030676971,2.630806590648845,-10.142393551213083,-2.627056766921015
V9,F22,30,4,-10.402817097768976,-8.905021420276361,2.54808576444286,-10.394226998281054,-2.7600015870609123
V9,F23,30,4,-10.536150422832874,-9.810596564929664,1.864990641499511,-10.52886407931691,-5.128185316708396
V10,F1,30,30,0.0,0.0,0.0,0.0,0.0
V10,F2,30,30,0.0,0.0,0.0,0.0,0.0
V10,F3,30,30,0.0,0.0,0.0,0.0,0.0
V10,F4,30,30,0.0,0.0,0.0,0.0,0.0
V10,F5,30,30,26.054231599578767,28.284447586567023,0.7168040438096016,28.65171672692589,28.9901213820155
V10,F6,30,30,6.673276259336553e-07,0.29586734754385235,0.7158482551769306,0.02709690783768237,2.795550123591419
V10,F7,30,30,4.9591094465339935e-06,0.00011541545651241324,0.0001138745391933453,7.908190161015627e-05,0.00057313278933524
V10,F8,30,30,-12569.248125985432,-7254.607332631448,2604.124730022378,-5927.448644464779,-4098.9019041780575
V10,F9,30,30,0.0,0.0,0.0,0.0,0.0
V10,F10,30,30,4.440892098500626e-16,4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16
V10,F11,30,30,0.0,0.0,0.0,0.0,0.0
V10,F12,30,30,3.904443901864211e-10,0.2782034887296702,0.45768627168325804,1.7237424724650889e-06,1.6021265390195052
V10,F13,30,30,4.371570325291054e-07,1.340627150532993,1.0041189067341632,1.754456700926967,2.911005861146542
V10,F14,30,2,0.9980038377956877,3.5386512291557035,4.246782794348209,0.9980038385337332,12.670505811135914
V10,F15,30,4,0.0003077648582130735,0.00032549953243998884,1.5399524010850373e-05,0.0003208104216578753,0.00037467116033882255
V10,F16,30,2,-1.0316284528078135,-1.0316284300630985,2.410400086745882e-08,-1.0316284384435515,-1.0316283570820304
V10,F17,30,2,0.39788743113709835,0.3978903317325324,2.9792837484746484e-06,0.39788944539483406,0.39789845819345615
V10,F18,30,2,3.0000000138307645,7.581967229943177,15.585037851471142,3.0000023596126235,84.00012105996748
V10,F19,30,3,-3.862779761117942,-3.861890209481228,0.002368454109364343,-3.8627731630460733,-3.8549007510179267
V10,F20,30,6,-3.3221333147547107,-3.268113809410619,0.07706383010427098,-3.3216179417445657,-3.0768526050382383
V10,F21,30,4,-10.1531965737984,-8.795035200397848,2.2791891959738675,-10.144660662709512,-5.05514902826489
V10,F22,30,4,-10.402842392845315,-9.338437850666567,2.1544341883090725,-10.397662516692534,-5.087465923941261
V10,F23,30,4,-10.536286126336506,-9.124668228780468,2.640913846506224,-10.529811734130238,-2.869743421841286
V11,F1,30,30,0.0,0.0,0.0,0.0,0.0
V11,F2,30,30,0.0,0.0,0.0,0.0,0.0
V11,F3,30,30,0.0,0.0,0.0,0.0,0.0
V11,F4,30,30,0.0,0.0,0.0,0.0,0.0
V11,F5,30,30,26.056079496446582,28.283972217980644,0.7170770707046041,28.64996281544036,28.984194689622946
V11,F6,30,30,9.254089880791718e-06,0.30584453174227266,0.7130402522283067,0.03421842118943827,2.795628257448792
V11,F7,30,30,4.9591094465339935e-06,0.00011541545651241324,0.0001138745391933453,7.908190161015627e-05,0.00057313278933524
V11,F8,30,30,-12569.042163397447,-7330.674796800678,2735.421750666674,-5971.476683462197,-4098.9019041780575
V11,F9,30,30,0.0,0.0,0.0,0.0,0.0
V11,F10,30,30,4.440892098500626e-16,4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16
V11,F11,30,30,0.0,0.0,0.0,0.0,0.0
V11,F12,30,30,2.450859725816946e-09,0.2779734910620656,0.4575052703018599,1.3293752101512102e-06,1.602113482030724
V11,F13,30,30,1.427470895361045e-07,1.3498380134538794,1.00099231737548,1.7544567025240834,2.914760975937687
V11,F14,30,2,0.9980038377956877,3.5386512291785053,4.2467827943340986,0.9980038386189957,12.670505811135914
V11,F15,30,4,0.0003077648582130735,0.00032707907811778836,1.805920204604845e-05,0.0003211329667508675,0.0003771212160948168
V11,F16,30,2,-1.0316284528078135,-1.0316284300630985,2.410400086745882e-08,-1.0316284384435515,-1.0316283570820304
V11,F17,30,2,0.39788743113709835,0.3978903317325324,2.9792837484746484e-06,0.39788944539483406,0.39789845819345615
V11,F18,30,2,3.0000000138307645,7.581967229943177,15.585037851471142,3.0000023596126235,84.00012105996748
V11,F19,30,3,-3.862779761117942,-3.861890200197645,0.002368450568503489,-3.8627731630460733,-3.8549007510179267
V11,F20,30,6,-3.3221333126080097,-3.268115527449858,0.07706500785892399,-3.3216179417445657,-3.0768526050382383
V11,F21,30,4,-10.1531965737984,-8.796057576788346,2.2798134412465383,-10.146243784186378,-5.05514902826489
V11,F22,30,4,-10.402842392845315,-9.33642620256563,2.1534005958256275,-10.39584723375605,-5.087660083802324
V11,F23,30,4,-10.53628285876681,-9.125504277836939,2.6415481075742266,-10.532311318787254,-2.869743421841286
