Dimension,Function,Algorithm,Runs,Best,Average,STD_sample_ddof1,Rank_by_Average
500,F3,SCHO,30,0.0,0.0,0.0,2.0
500,F3,GWO,30,151030.95532242378,308120.6298366411,93056.92996338703,6.0
500,F3,ALO,30,1067198.697280315,1854397.9497876575,566359.2317440117,8.0
500,F3,SCA,30,4865456.3307183515,7231274.497694145,1572039.730672808,9.0
500,F3,SSA,30,489073.7029162184,1572004.2840659947,761336.2194235387,7.0
500,F3,AOA,30,0.0,0.0,0.0,2.0
500,F3,RSA,30,0.0,0.0,0.0,2.0
500,F3,SHO,30,2.0226450277321855e-149,5.959192680414495e-119,3.263799737860205e-118,4.0
500,F3,GJO,30,562.9704705896933,42008.316665311904,33040.719907880266,5.0
500,F4,SCHO,30,0.0,5.473629057580931e-207,2.9739256943775174e-206,3.0
500,F4,GWO,30,51.85402671822006,65.1306049821836,5.097675459708942,7.0
500,F4,ALO,30,40.030765985397764,47.71070791098911,4.5540230591047886,6.0
500,F4,SCA,30,98.619160136134,99.08438080663295,0.24354922346606597,9.0
500,F4,SSA,30,36.02838728260936,40.86408524765199,3.1408614122678906,5.0
500,F4,AOA,30,0.0,0.0,0.0,1.5
500,F4,RSA,30,0.0,0.0,0.0,1.5
500,F4,SHO,30,8.736435073379509e-82,4.593389918192854e-78,1.1702711303181406e-77,4.0
500,F4,GJO,30,73.2990601526572,81.51792907673682,3.9475698060300095,8.0
500,F5,SCHO,30,498.77110983416117,498.9482682002102,0.07052776394500737,4.0
500,F5,GWO,30,497.08393937303777,498.1174448366133,0.34806393639883476,1.0
500,F5,ALO,30,34292545.57329474,115179889.86082217,50395507.48526623,8.0
500,F5,SCA,30,1010549030.1549401,1948285937.9232512,426132573.00946504,9.0
500,F5,SSA,30,24855286.778510287,38727806.1761217,5451117.35046271,7.0
500,F5,AOA,30,499.0,499.0,0.0,5.5
500,F5,RSA,30,499.0,499.0,0.0,5.5
500,F5,SHO,30,498.83856322869667,498.9220723398812,0.02500809806317306,3.0
500,F5,GJO,30,497.1111185357059,498.169133054204,0.2704317437012359,2.0
500,F6,SCHO,30,124.26254372653983,124.63085913633863,0.10487733867892993,4.0
500,F6,GWO,30,88.28348853591493,91.34940968152394,2.067734436968445,1.0
500,F6,ALO,30,106346.23994534824,168365.94693670297,39853.31572720187,8.0
500,F6,SCA,30,114763.32369377866,216778.54429811236,63658.40900391547,9.0
500,F6,SSA,30,75298.88438599453,95383.09402430123,6236.420605827179,7.0
500,F6,AOA,30,125.0,125.0,0.0,5.5
500,F6,RSA,30,125.0,125.0,0.0,5.5
