Function,Family,Algorithm,Runs,Population,MaxIter,Dimension,Optimum,Best,Mean,Std_sample_ddof1,Std_population_ddof0,Worst,BestError,MeanError,WorstError
F17,hybrid,SCHO,30,30,500,10,1700.0,2735.470314533587,289092.1622991387,274209.61735440604,269600.72411128297,762935.8329643534,1035.470314533587,287392.1622991387,761235.8329643534
F18,hybrid,GWO,30,30,500,10,1800.0,2095.009199614797,11641.913049528583,9955.136813404548,9787.811672746317,37272.367466629854,295.0091996147971,9841.913049528584,35472.367466629854
F18,hybrid,SCHO,30,30,500,10,1800.0,1966.7525900920843,12977.986351513968,10732.255280434942,10551.868394946754,38400.13586835357,166.75259009208435,11177.986351513968,36600.13586835357
F19,hybrid,GWO,30,30,500,10,1900.0,1901.516214931514,1903.0273467161053,1.0641292464096817,1.046243447432586,1905.6713177686006,1.516214931514014,3.0273467161051637,5.671317768600602
F19,hybrid,SCHO,30,30,500,10,1900.0,1901.67959619937,1907.3968963066727,12.977430931423978,12.759307313769707,1955.5553419850196,1.679596199370053,7.396896306672579,55.555341985019595
F20,hybrid,GWO,30,30,500,10,2000.0,2113.014917091181,9330.191419003237,5361.966874938868,5271.843366003676,21131.64263264117,113.0149170911809,7330.191419003236,19131.64263264117
F20,hybrid,SCHO,30,30,500,10,2000.0,2128.0524729115227,13337.749288588953,8260.092650677527,8121.25767627882,33439.0398174324,128.05247291152273,11337.749288588953,31439.0398174324
F21,hybrid,GWO,30,30,500,10,2100.0,2867.525387203684,8632.306132021946,5657.3363452101,5562.248289922041,21033.854793423314,767.5253872036842,6532.306132021945,18933.854793423314
F21,hybrid,SCHO,30,30,500,10,2100.0,2487.166033065017,573062.1203783437,2969010.5346857244,2919107.6438823417,16289926.817176653,387.166033065017,570962.1203783437,16287826.817176653
F22,hybrid,GWO,30,30,500,10,2200.0,2223.0565282411662,2296.060289818022,60.81765433114422,59.79543607777375,2386.948647377405,23.056528241166234,96.06028981802181,186.948647377405
F22,hybrid,SCHO,30,30,500,10,2200.0,2227.915739672633,2357.965381200053,85.81880034502854,84.37636483580305,2553.5168024856016,27.915739672633208,157.96538120005255,353.5168024856016
F23,composition,GWO,30,30,500,10,2300.0,2629.819686104267,2634.3956742733335,3.8155915717215185,3.7514594147859146,2645.968949569279,329.819686104267,334.39567427333355,345.9689495692792
F23,composition,SCHO,30,30,500,10,2300.0,2500.0,2500.0,0.0,0.0,2500.0,200.0,200.0,200.0
F24,composition,GWO,30,30,500,10,2400.0,2515.3271281436755,2543.8757834801004,32.20372626131989,31.6624486146743,2603.3130104257166,115.32712814367551,143.87578348010084,203.31301042571658
F24,composition,SCHO,30,30,500,10,2400.0,2518.3012840727633,2570.406575012411,27.991089486057557,27.520617500265733,2600.0,118.30128407276334,170.40657501241077,200.0
F25,composition,GWO,30,30,500,10,2500.0,2688.685458449153,2699.6760439665063,2.986968132477153,2.9367634118111923,2702.5522149112303,188.68545844915297,199.67604396650594,202.5522149112303
F25,composition,SCHO,30,30,500,10,2500.0,2667.418100451912,2697.7398498122143,6.400587605719195,6.293007042890542,2700.0,167.41810045191187,197.73984981221415,200.0
F26,composition,GWO,30,30,500,10,2600.0,2700.1209823301215,2700.2127678944644,0.06705269909674678,0.0659256827113195,2700.389265523957,100.12098233012148,100.21276789446394,100.38926552395696
F26,composition,SCHO,30,30,500,10,2600.0,2700.241387990237,2700.677049235507,0.6540004794866645,0.6430080919111055,2702.779508291108,100.24138799023694,100.67704923550724,102.77950829110796
F27,composition,GWO,30,30,500,10,2700.0,2704.1197321729783,3054.8216792360713,73.97975529887465,72.73630950869948,3154.3922591855203,4.119732172978274,354.8216792360718,454.3922591855203
F27,composition,SCHO,30,30,500,10,2700.0,2900.0,2900.0,0.0,0.0,2900.0,200.0,200.0,200.0
F28,composition,GWO,30,30,500,10,2800.0,3169.5690940185714,3258.3576218775456,58.097522077494126,57.12102358875192,3399.712428021857,369.5690940185714,458.3576218775455,599.7124280218568
