Function,Dimension,Runs,Population,MaxIter,Best,Mean,Std_sample_ddof1,Std_population_ddof0,Median,Worst,Optimum,PaperBest,PaperMean,PaperStd,BestGap,MeanGap,StdGap,MeanRatio_repro_over_paper,MeanErrorFromOptimum,PaperMeanErrorFromOptimum,MeanErrorRatio
F13,100,30,30,500,9.79380539539358,9.880470448327909,0.03121111036184405,0.030686516523579246,9.893533745494278,9.911040452493188,0.0,1.024,9.58,1.616,8.769805395393579,0.3004704483279088,-1.5847888896381561,1.0313643474246252,9.880470448327909,9.58,1.0313643474246252
F1,500,30,30,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,nan
F2,500,30,30,500,0.0,8.114903523550659e-217,0.0,0.0,3.81543242126094e-266,2.3135744370401642e-215,0.0,0.0,3.513e-211,0.0,0.0,-3.5129918850964763e-211,0.0,2.309963997594836e-06,8.114903523550659e-217,3.513e-211,2.309963997594836e-06
F3,500,30,30,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,nan
F4,500,30,30,500,0.0,5.473629057580931e-207,0.0,0.0,4.567999012157707e-240,1.629280950451038e-205,0.0,0.0,1.492e-204,0.0,0.0,-1.486526370942419e-204,0.0,0.0036686521833652354,5.473629057580931e-207,1.492e-204,0.0036686521833652354
F5,500,30,30,500,498.77110983416117,498.9482682002102,0.07052776394500596,0.0693423389484837,498.9755300133785,498.9849972941581,0.0,498.8,499.0,0.052,-0.028890165838845405,-0.05173179978982034,0.018527763945005958,0.9998963290585374,498.9482682002102,499.0,0.9998963290585374
F6,500,30,30,500,124.26254372653983,124.63085913633863,0.10487733867892955,0.10311456878683889,124.61263932083634,124.76204842893054,0.0,124.2,124.6,0.1481,0.06254372653982898,0.03085913633863413,-0.04322266132107046,1.0002476656206953,124.63085913633863,124.6,1.0002476656206953
F7,500,30,30,500,1.060784867390474e-06,0.0001003646547365844,9.740103185032622e-05,9.576392312343579e-05,9.076196290014327e-05,0.00045231011004942534,0.0,4.091e-06,8.216e-05,6.352e-05,-3.0302151326095262e-06,1.8204654736584397e-05,3.388103185032622e-05,1.2215756418766357,0.0001003646547365844,8.216e-05,1.2215756418766357
F8,500,30,30,500,-209344.00219002328,-45451.968372688476,38066.41944215938,37426.60211901239,-32353.98943943745,-19427.901158617744,-209491.44999999998,-194400.0,-62820.0,51050.0,-14944.002190023282,17368.031627311524,-12983.580557840622,0.7235270355410455,164039.4816273115,146671.44999999998,1.1184145355303403
F9,500,30,30,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,nan
F10,500,30,30,500,4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,0.0,4.441e-16,4.441e-16,0.0,-1.0790149937342648e-20,-1.0790149937342648e-20,0.0,0.9999757033327238,4.440892098500626e-16,4.441e-16,0.9999757033327238
F11,500,30,30,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,nan
F12,500,30,30,500,6.084422921266186e-06,1.1609902562284353,0.21928608813785055,0.21560034516617652,1.2016395136152984,1.2036780708104093,0.0,9.54e-08,1.04,0.415,5.989022921266186e-06,0.12099025622843529,-0.19571391186214943,1.1163367848350338,1.1609902562284353,1.04,1.1163367848350338
F13,500,30,30,500,49.69265013176104,49.876346450241044,0.04627043976658544,0.04549272992819956,49.890407084795626,49.90682895120368,0.0,28.21,49.16,3.957,21.48265013176104,0.7163464502410477,-3.9107295602334142,1.0145717341383451,49.876346450241044,49.16,1.0145717341383451
