Variant,Function,SCHO_Average,Variant_Average,Comparison,SCHO_Credit,Variant_Credit,AbsoluteMeanDifference
V3,F10,4.440892098500626e-16,4.440892098500626e-16,TIE,1,1,0.0
V3,F11,0.0,0.0,TIE,1,1,0.0
V3,F12,0.27797407424104503,0.27797414750903826,SCHO,1,0,7.326799322804334e-08
V3,F13,1.349836846029414,1.354655846628311,SCHO,1,0,0.004819000598897061
V3,F14,3.53865122915854,3.9277346284090364,SCHO,1,0,0.3890833992504965
V3,F15,0.000327086928171355,0.000326629332348291,V3,0,1,4.575958230639953e-07
V3,F16,-1.0316284300630985,-1.0316284300630985,TIE,1,1,0.0
V3,F17,0.3978903317325324,0.39789035274202955,SCHO,1,0,2.1009497142010503e-08
V3,F18,7.5819672299431655,6.654051840375595,V3,0,1,0.9279153895675707
V3,F19,-3.8618902001976454,-3.861890200197645,TIE,1,1,4.440892098500626e-16
V3,F20,-3.268115527450003,-3.268115527450003,TIE,1,1,0.0
V3,F21,-8.796057576788064,-8.794121777653869,SCHO,1,0,0.0019357991341948377
V3,F22,-9.33642620256563,-9.33764993827754,V3,0,1,0.0012237357119104786
V3,F23,-9.125356316648064,-9.125149843967568,SCHO,1,0,0.00020647268049600598
V4,F1,0.0,0.0,TIE,1,1,0.0
V4,F2,0.0,0.0,TIE,1,1,0.0
V4,F3,0.0,0.0,TIE,1,1,0.0
V4,F4,0.0,0.0,TIE,1,1,0.0
V4,F5,28.283975086321448,28.08224776898346,V4,0,1,0.201727317337987
V4,F6,0.305809620717497,0.8116872096733059,SCHO,1,0,0.5058775889558089
V4,F7,0.00011541545651241324,0.00011485531679287589,V4,0,1,5.601397195373532e-07
V4,F8,-7330.687973555046,-7191.5671369742295,SCHO,1,0,139.1208365808161
V4,F9,0.0,0.0,TIE,1,1,0.0
V4,F10,4.440892098500626e-16,4.440892098500626e-16,TIE,1,1,0.0
V4,F11,0.0,0.0,TIE,1,1,0.0
V4,F12,0.27797407424104503,0.17314854382935504,V4,0,1,0.10482553041168999
V4,F13,1.349836846029414,1.0250295212546676,V4,0,1,0.3248073247747463
V4,F14,3.53865122915854,2.8927578521719783,V4,0,1,0.6458933769865616
V4,F15,0.000327086928171355,0.0003287969766299266,SCHO,1,0,1.7100484585715558e-06
V4,F16,-1.0316284300630985,-1.031628408481542,SCHO,1,0,2.158155654186089e-08
V4,F17,0.3978903317325324,0.397892769487829,SCHO,1,0,2.4377552965693106e-06
V4,F18,7.5819672299431655,7.3853777721680025,V4,0,1,0.196589457775163
V4,F19,-3.8618902001976454,-3.861719084679507,SCHO,1,0,0.00017111551813853154
V4,F20,-3.268115527450003,-3.2672438115158946,SCHO,1,0,0.0008717159341085079
V4,F21,-8.796057576788064,-8.796799996906282,V4,0,1,0.0007424201182182344
V4,F22,-9.33642620256563,-9.33829352449104,V4,0,1,0.0018673219254097262
V4,F23,-9.125356316648064,-9.380316218951974,V4,0,1,0.2549599023039093
V5,F1,0.0,0.0,TIE,1,1,0.0
V5,F2,0.0,0.0,TIE,1,1,0.0
V5,F3,0.0,0.0,TIE,1,1,0.0
V5,F4,0.0,0.0,TIE,1,1,0.0
V5,F5,28.283975086321448,28.284007142413234,SCHO,1,0,3.205609178635882e-05
V5,F6,0.305809620717497,0.3103167427967026,SCHO,1,0,0.004507122079205617
V5,F7,0.00011541545651241324,0.00011541545651241324,TIE,1,1,0.0
V5,F8,-7330.687973555046,-7227.163626976374,SCHO,1,0,103.52434657867161
V5,F9,0.0,0.0,TIE,1,1,0.0
V5,F10,4.440892098500626e-16,4.440892098500626e-16,TIE,1,1,0.0
V5,F11,0.0,0.0,TIE,1,1,0.0
V5,F12,0.27797407424104503,0.27797405883395937,V5,0,1,1.5407085662832998e-08
V5,F13,1.349836846029414,1.3497475603877733,V5,0,1,8.928564164056851e-05
V5,F14,3.53865122915854,3.5386512291834813,TIE,1,1,2.4941382292809067e-11
V5,F15,0.000327086928171355,0.00032762288913161687,SCHO,1,0,5.359609602618521e-07
V5,F16,-1.0316284300630985,-1.0316284300630985,TIE,1,1,0.0
V5,F17,0.3978903317325324,0.3978903496283569,SCHO,1,0,1.7895824488967094e-08
V5,F18,7.5819672299431655,7.513364230743815,V5,0,1,0.0686029991993502
V5,F19,-3.8618902001976454,-3.861890200197645,TIE,1,1,4.440892098500626e-16
V5,F20,-3.268115527450003,-3.268115527450003,TIE,1,1,0.0
V5,F21,-8.796057576788064,-8.795566919654778,SCHO,1,0,0.0004906571332856657
V5,F22,-9.33642620256563,-9.337569593983945,V5,0,1,0.0011433914183154315
V5,F23,-9.125356316648064,-9.125268177040002,SCHO,1,0,8.813960806186572e-05
V6,F1,0.0,0.0,TIE,1,1,0.0
V6,F2,0.0,0.0,TIE,1,1,0.0
V6,F3,0.0,0.0,TIE,1,1,0.0
V6,F4,0.0,0.0,TIE,1,1,0.0
V6,F5,28.283975086321448,28.258317715942628,V6,0,1,0.025657370378819877
V6,F6,0.305809620717497,1.0397081139138322,SCHO,1,0,0.7338984931963353
V6,F7,0.00011541545651241324,0.0001148553167920684,V6,0,1,5.601397203448398e-07
V6,F8,-7330.687973555046,-6952.895672437986,SCHO,1,0,377.79230111705965
V6,F9,0.0,0.0,TIE,1,1,0.0
V6,F10,4.440892098500626e-16,4.440892098500626e-16,TIE,1,1,0.0
V6,F11,0.0,0.0,TIE,1,1,0.0
V6,F12,0.27797407424104503,0.11627943847312436,V6,0,1,0.16169463576792067
V6,F13,1.349836846029414,1.2001666930158277,V6,0,1,0.14967015301358622
V6,F14,3.53865122915854,2.962878926731653,V6,0,1,0.5757723024268868
V6,F15,0.000327086928171355,0.00033628326921047926,SCHO,1,0,9.19634103912424e-06
V6,F16,-1.0316284300630985,-1.0316283245361222,SCHO,1,0,1.0552697626842189e-07
V6,F17,0.3978903317325324,0.39789646426766023,SCHO,1,0,6.132535127822969e-06
V6,F18,7.5819672299431655,8.09633959083241,SCHO,1,0,0.5143723608892437
V6,F19,-3.8618902001976454,-3.8608831401953716,SCHO,1,0,0.0010070600022737963
V6,F20,-3.268115527450003,-3.244581866046952,SCHO,1,0,0.02353366140305102
V6,F21,-8.796057576788064,-8.966732782480781,V6,0,1,0.1706752056927172
V6,F22,-9.33642620256563,-9.339724364942521,V6,0,1,0.0032981623768915114
V6,F23,-9.125356316648064,-9.305305606020603,V6,0,1,0.17994928937253896
V7,F1,0.0,0.0,TIE,1,1,0.0
V7,F2,0.0,0.0,TIE,1,1,0.0
V7,F3,0.0,0.0,TIE,1,1,0.0
V7,F4,0.0,2.428939904582058e-291,TIE,1,1,2.428939904582058e-291
V7,F5,28.283975086321448,28.404814726183417,SCHO,1,0,0.12083963986196977
V7,F6,0.305809620717497,0.8558658286365579,SCHO,1,0,0.550056207919061
V7,F7,0.00011541545651241324,0.00011541545651241335,TIE,1,1,1.0842021724855044e-19
V7,F8,-7330.687973555046,-7276.891859280743,SCHO,1,0,53.796114274302454
V7,F9,0.0,0.0,TIE,1,1,0.0
V7,F10,4.440892098500626e-16,4.440892098500626e-16,TIE,1,1,0.0
V7,F11,0.0,0.0,TIE,1,1,0.0
V7,F12,0.27797407424104503,0.2226108583398145,V7,0,1,0.05536321590123053
V7,F13,1.349836846029414,1.2626044789747237,V7,0,1,0.08723236705469017
V7,F14,3.53865122915854,3.5386512291331416,TIE,1,1,2.539835008974478e-11
V7,F15,0.000327086928171355,0.000327930416372118,SCHO,1,0,8.434882007629565e-07
V7,F16,-1.0316284300630985,-1.0316284316223165,V7,0,1,1.5592180879764328e-09
V7,F17,0.3978903317325324,0.39788992438340265,V7,0,1,4.073491297607035e-07
V7,F18,7.5819672299431655,7.571159640792606,V7,0,1,0.010807589150559238
V7,F19,-3.8618902001976454,-3.8619301270366697,V7,0,1,3.992683902431793e-05
V7,F20,-3.268115527450003,-3.2675871824081377,SCHO,1,0,0.0005283450418653857
V7,F21,-8.796057576788064,-8.295410169317218,SCHO,1,0,0.5006474074708454
V7,F22,-9.33642620256563,-9.084622388279653,SCHO,1,0,0.2518038142859762
V7,F23,-9.125356316648064,-8.86713068226152,SCHO,1,0,0.25822563438654456
V8,F1,0.0,0.0,TIE,1,1,0.0
V8,F2,0.0,0.0,TIE,1,1,0.0
V8,F3,0.0,0.0,TIE,1,1,0.0
V8,F4,0.0,3.0224198533386025e-304,TIE,1,1,3.0224198533386025e-304
V8,F5,28.283975086321448,28.286979615554937,SCHO,1,0,0.0030045292334897056
V8,F6,0.305809620717497,0.5937972605037856,SCHO,1,0,0.28798763978628855
V8,F7,0.00011541545651241324,0.00011541545666503008,TIE,1,1,1.5261683789565689e-13
V8,F8,-7330.687973555046,-7941.516319527641,V8,0,1,610.8283459725953
V8,F9,0.0,0.0,TIE,1,1,0.0
V8,F10,4.440892098500626e-16,4.440892098500626e-16,TIE,1,1,0.0
V8,F11,0.0,0.0,TIE,1,1,0.0
V8,F12,0.27797407424104503,0.18825249159907567,V8,0,1,0.08972158264196936
V8,F13,1.349836846029414,1.3235811358457146,V8,0,1,0.02625571018369932
