Function,Family,Algorithm,Run,Seed,Population,MaxIter,Dimension,Optimum,BestScore,Error,Curve0,CurveLast,Status
F15,simple_multimodal,SCHO,1,1000,30,500,10,1500.0,1875.1608562032138,375.1608562032138,435822.2667636709,1875.1608562032138,PASS
F15,simple_multimodal,SCHO,2,1001,30,500,10,1500.0,1504.3340236306117,4.334023630611682,859433.4078681683,1504.3340236306117,PASS
F15,simple_multimodal,SCHO,3,1002,30,500,10,1500.0,1505.1566029361968,5.156602936196805,48334.08986486411,1505.1566029361968,PASS
F15,simple_multimodal,SCHO,4,1003,30,500,10,1500.0,1503.278512766194,3.2785127661938986,237527.23556049692,1503.278512766194,PASS
F15,simple_multimodal,SCHO,5,1004,30,500,10,1500.0,1504.1065199911675,4.106519991167488,280323.8447106154,1504.1065199911675,PASS
F15,simple_multimodal,SCHO,6,1005,30,500,10,1500.0,1503.527890966288,3.5278909662879414,394746.1447961847,1503.527890966288,PASS
F15,simple_multimodal,SCHO,7,1006,30,500,10,1500.0,1503.740806333906,3.7408063339059936,82593.18877390769,1503.740806333906,PASS
F15,simple_multimodal,SCHO,8,1007,30,500,10,1500.0,1976.6035776286137,476.6035776286137,16243.708408284076,1976.6035776286137,PASS
F15,simple_multimodal,SCHO,9,1008,30,500,10,1500.0,1506.283911681963,6.283911681962991,782883.9003924723,1506.283911681963,PASS
F15,simple_multimodal,SCHO,10,1009,30,500,10,1500.0,1509.1966602114728,9.196660211472818,872297.4288821486,1509.1966602114728,PASS
F15,simple_multimodal,SCHO,11,1010,30,500,10,1500.0,1504.1626840449164,4.162684044916432,682304.683356828,1504.1626840449164,PASS
F15,simple_multimodal,SCHO,12,1011,30,500,10,1500.0,1504.984806545507,4.984806545506899,293385.28023873875,1504.984806545507,PASS
F15,simple_multimodal,SCHO,13,1012,30,500,10,1500.0,1515.2027734723792,15.20277347237925,111805.81212045086,1515.2027734723792,PASS
F15,simple_multimodal,SCHO,14,1013,30,500,10,1500.0,1538.1802672391343,38.18026723913431,650467.4002868515,1538.1802672391343,PASS
F15,simple_multimodal,SCHO,15,1014,30,500,10,1500.0,1507.7105910618277,7.710591061827699,46398.64003296704,1507.7105910618277,PASS
F15,simple_multimodal,SCHO,16,1015,30,500,10,1500.0,1504.848584195109,4.84858419510897,911732.5253964504,1504.848584195109,PASS
F15,simple_multimodal,SCHO,17,1016,30,500,10,1500.0,1504.9551198948839,4.955119894883865,245874.36378071384,1504.9551198948839,PASS
F15,simple_multimodal,SCHO,18,1017,30,500,10,1500.0,1541.4707952687418,41.47079526874177,2158363.8321546284,1541.4707952687418,PASS
F15,simple_multimodal,SCHO,19,1018,30,500,10,1500.0,1504.2660602379826,4.266060237982629,119808.6207437047,1504.2660602379826,PASS
F15,simple_multimodal,SCHO,20,1019,30,500,10,1500.0,1505.0723780282908,5.072378028290814,966676.3531023648,1505.0723780282908,PASS
F15,simple_multimodal,SCHO,21,1020,30,500,10,1500.0,1504.3241071303785,4.324107130378479,495410.94734792615,1504.3241071303785,PASS
F15,simple_multimodal,SCHO,22,1021,30,500,10,1500.0,1542.5614215547237,42.561421554723665,340611.8418500287,1542.5614215547237,PASS
F15,simple_multimodal,SCHO,23,1022,30,500,10,1500.0,1504.6513177852635,4.651317785263473,52030.88409399259,1504.6513177852635,PASS
F15,simple_multimodal,SCHO,24,1023,30,500,10,1500.0,1504.2921033075993,4.292103307599291,2174279.118153681,1504.2921033075993,PASS
F15,simple_multimodal,SCHO,25,1024,30,500,10,1500.0,1503.0640652646694,3.0640652646693525,804170.1064072571,1503.0640652646694,PASS
F15,simple_multimodal,SCHO,26,1025,30,500,10,1500.0,1507.7229326779184,7.722932677918379,719912.7349810883,1507.7229326779184,PASS
F15,simple_multimodal,SCHO,27,1026,30,500,10,1500.0,1506.1328614716892,6.132861471689239,689780.3405780848,1506.1328614716892,PASS
F15,simple_multimodal,SCHO,28,1027,30,500,10,1500.0,1507.5963971211113,7.596397121111295,84056.14062387223,1507.5963971211113,PASS
F15,simple_multimodal,SCHO,29,1028,30,500,10,1500.0,1506.2451406492075,6.245140649207542,481777.8915226792,1506.2451406492075,PASS
F15,simple_multimodal,SCHO,30,1029,30,500,10,1500.0,1508.7676315382469,8.76763153824686,2082769.7848503757,1508.7676315382469,PASS
F21,hybrid,GWO,1,1000,30,500,10,2100.0,6664.231801915964,4564.231801915964,5100469.601982614,6664.231801915964,PASS
F21,hybrid,GWO,2,1001,30,500,10,2100.0,21033.854793423314,18933.854793423314,1187147.804821417,21033.854793423314,PASS
F21,hybrid,GWO,3,1002,30,500,10,2100.0,2946.4949174052776,846.4949174052776,33843321.96040909,2946.4949174052776,PASS
F21,hybrid,GWO,4,1003,30,500,10,2100.0,15020.23767786126,12920.23767786126,11879121.921444938,15020.23767786126,PASS
F21,hybrid,GWO,5,1004,30,500,10,2100.0,3918.108143859522,1818.108143859522,9556145.199906962,3918.108143859522,PASS
F21,hybrid,GWO,6,1005,30,500,10,2100.0,3123.0747722661995,1023.0747722661995,3084649.5787443025,3123.0747722661995,PASS
F21,hybrid,GWO,7,1006,30,500,10,2100.0,7241.447883369972,5141.447883369972,16465976.04003635,7241.447883369972,PASS
F21,hybrid,GWO,8,1007,30,500,10,2100.0,5478.600495793311,3378.600495793311,25209522.85769235,5478.600495793311,PASS
F21,hybrid,GWO,9,1008,30,500,10,2100.0,7464.159462240126,5364.159462240126,22733057.08989084,7464.159462240126,PASS
F21,hybrid,GWO,10,1009,30,500,10,2100.0,12057.153526894697,9957.153526894697,64922373.43537702,12057.153526894697,PASS
F21,hybrid,GWO,11,1010,30,500,10,2100.0,3270.0945769676687,1170.0945769676687,33834880.94112097,3270.0945769676687,PASS
F21,hybrid,GWO,12,1011,30,500,10,2100.0,20119.164346584013,18019.164346584013,6044125.265483934,20119.164346584013,PASS
F21,hybrid,GWO,13,1012,30,500,10,2100.0,3510.3697965988986,1410.3697965988986,257945.20331827516,3510.3697965988986,PASS
F21,hybrid,GWO,14,1013,30,500,10,2100.0,5034.395207817838,2934.395207817838,2158379.421715033,5034.395207817838,PASS
F21,hybrid,GWO,15,1014,30,500,10,2100.0,2867.525387203684,767.5253872036842,3116598.5773469238,2867.525387203684,PASS
F21,hybrid,GWO,16,1015,30,500,10,2100.0,3417.140043277341,1317.1400432773412,11370082.59533797,3417.140043277341,PASS
F21,hybrid,GWO,17,1016,30,500,10,2100.0,13985.981179727025,11885.981179727025,4300120.199377733,13985.981179727025,PASS
F21,hybrid,GWO,18,1017,30,500,10,2100.0,8589.848072297715,6489.848072297715,80804308.2825547,8589.848072297715,PASS
F21,hybrid,GWO,19,1018,30,500,10,2100.0,6670.672673822377,4570.672673822377,21238692.861466423,6670.672673822377,PASS
F21,hybrid,GWO,20,1019,30,500,10,2100.0,7719.181897547529,5619.181897547529,32886752.402044635,7719.181897547529,PASS
F21,hybrid,GWO,21,1020,30,500,10,2100.0,17153.02871232674,15053.02871232674,44408734.49248763,17153.02871232674,PASS
F21,hybrid,GWO,22,1021,30,500,10,2100.0,19141.830019309178,17041.830019309178,11078065.876066916,19141.830019309178,PASS
F21,hybrid,GWO,23,1022,30,500,10,2100.0,15745.370396444614,13645.370396444614,105186229.03184858,15745.370396444614,PASS
F21,hybrid,GWO,24,1023,30,500,10,2100.0,11884.558063042257,9784.558063042257,12968253.859945072,11884.558063042257,PASS
F21,hybrid,GWO,25,1024,30,500,10,2100.0,3455.2178445061554,1355.2178445061554,61096251.449146666,3455.2178445061554,PASS
F21,hybrid,GWO,26,1025,30,500,10,2100.0,3137.750299365828,1037.7502993658281,2853540.583667468,3137.750299365828,PASS
F21,hybrid,GWO,27,1026,30,500,10,2100.0,7735.535596732708,5635.535596732708,46651462.975811295,7735.535596732708,PASS
F21,hybrid,GWO,28,1027,30,500,10,2100.0,4093.2290978388346,1993.2290978388346,5506259.664190119,4093.2290978388346,PASS
F21,hybrid,GWO,29,1028,30,500,10,2100.0,9514.578849132493,7414.578849132493,24617396.819166243,9514.578849132493,PASS
F21,hybrid,GWO,30,1029,30,500,10,2100.0,6976.348425085793,4876.348425085793,17887514.76942997,6976.348425085793,PASS
F21,hybrid,SCHO,1,1000,30,500,10,2100.0,22294.104140215168,20194.104140215168,10575783.307658168,22294.104140215168,PASS
F21,hybrid,SCHO,2,1001,30,500,10,2100.0,3187.5262334841245,1087.5262334841245,12335940.048314776,3187.5262334841245,PASS
F21,hybrid,SCHO,3,1002,30,500,10,2100.0,24900.754398768553,22800.754398768553,1942910.7092753772,24900.754398768553,PASS
F21,hybrid,SCHO,4,1003,30,500,10,2100.0,5330.06100986566,3230.06100986566,5737002.576817691,5330.06100986566,PASS
F21,hybrid,SCHO,5,1004,30,500,10,2100.0,3516.192185299683,1416.192185299683,3911292.3968871706,3516.192185299683,PASS
F21,hybrid,SCHO,6,1005,30,500,10,2100.0,7440.306263144306,5340.306263144306,73501985.77490333,7440.306263144306,PASS
F21,hybrid,SCHO,7,1006,30,500,10,2100.0,203934.74206942166,201834.74206942166,22883704.37027695,203934.74206942166,PASS
F21,hybrid,SCHO,8,1007,30,500,10,2100.0,7033.3573176816735,4933.3573176816735,29903060.177209713,7033.3573176816735,PASS
F21,hybrid,SCHO,9,1008,30,500,10,2100.0,4618.5681548052125,2518.5681548052125,1269649.4117539574,4618.5681548052125,PASS
F21,hybrid,SCHO,10,1009,30,500,10,2100.0,14519.291976458315,12419.291976458315,18758598.476307884,14519.291976458315,PASS
F21,hybrid,SCHO,11,1010,30,500,10,2100.0,6188.019311185712,4088.0193111857116,4606625.728791437,6188.019311185712,PASS
F21,hybrid,SCHO,12,1011,30,500,10,2100.0,30346.523815283876,28246.523815283876,11610776.665966833,30346.523815283876,PASS
F21,hybrid,SCHO,13,1012,30,500,10,2100.0,192714.55595316374,190614.55595316374,25811608.896383442,192714.55595316374,PASS
F21,hybrid,SCHO,14,1013,30,500,10,2100.0,14224.372219174058,12124.372219174058,5540847.033824404,14224.372219174058,PASS
F21,hybrid,SCHO,15,1014,30,500,10,2100.0,3274.7769022964508,1174.7769022964508,2479161.416786547,3274.7769022964508,PASS
F21,hybrid,SCHO,16,1015,30,500,10,2100.0,13732.533104946862,11632.533104946862,26817446.526974954,13732.533104946862,PASS
F21,hybrid,SCHO,17,1016,30,500,10,2100.0,2865.024680782639,765.0246807826388,2735619.817033475,2865.024680782639,PASS
F21,hybrid,SCHO,18,1017,30,500,10,2100.0,23355.07297515091,21255.07297515091,253812834.3597181,23355.07297515091,PASS
F21,hybrid,SCHO,19,1018,30,500,10,2100.0,8156.163394084103,6056.163394084103,35432626.68089869,8156.163394084103,PASS
F21,hybrid,SCHO,20,1019,30,500,10,2100.0,6088.714409318354,3988.7144093183542,2331177.472231537,6088.714409318354,PASS
F21,hybrid,SCHO,21,1020,30,500,10,2100.0,4311.93754317055,2211.9375431705503,2881181.291954452,4311.93754317055,PASS
F21,hybrid,SCHO,22,1021,30,500,10,2100.0,11025.640691818158,8925.640691818158,44994895.91555765,11025.640691818158,PASS
F21,hybrid,SCHO,23,1022,30,500,10,2100.0,17532.934093814445,15432.934093814445,3024177.660464042,17532.934093814445,PASS
F21,hybrid,SCHO,24,1023,30,500,10,2100.0,27971.45112500325,25871.45112500325,30359017.069551617,27971.45112500325,PASS
F21,hybrid,SCHO,25,1024,30,500,10,2100.0,204834.4018688817,202734.4018688817,3201518.6071177255,204834.4018688817,PASS
F21,hybrid,SCHO,26,1025,30,500,10,2100.0,13906.939082596678,11806.939082596678,8006698.616077602,13906.939082596678,PASS
F21,hybrid,SCHO,27,1026,30,500,10,2100.0,4366.767971719581,2266.7679717195806,41682191.40036303,4366.767971719581,PASS
F21,hybrid,SCHO,28,1027,30,500,10,2100.0,16289926.817176653,16287826.817176653,24460349.696988523,16289926.817176653,PASS
F21,hybrid,SCHO,29,1028,30,500,10,2100.0,2487.166033065017,387.166033065017,51713628.477846876,2487.166033065017,PASS
F21,hybrid,SCHO,30,1029,30,500,10,2100.0,17778.89524905884,15678.895249058842,6718990.500358395,17778.89524905884,PASS
F23,composition,GWO,1,1000,30,500,10,2300.0,2634.5728737204677,334.57287372046767,3214.5609770685155,2634.5728737204677,PASS
F23,composition,GWO,2,1001,30,500,10,2300.0,2645.968949569279,345.9689495692792,2975.6685700917214,2645.968949569279,PASS
F23,composition,GWO,3,1002,30,500,10,2300.0,2633.6610456304447,333.66104563044473,2799.0802514522506,2633.6610456304447,PASS
F23,composition,GWO,4,1003,30,500,10,2300.0,2635.039002909505,335.03900290950514,3105.204553443349,2635.039002909505,PASS
F23,composition,GWO,5,1004,30,500,10,2300.0,2633.455842833815,333.45584283381504,2700.491674349707,2633.455842833815,PASS
F23,composition,GWO,6,1005,30,500,10,2300.0,2640.059105315321,340.0591053153212,3271.56754754951,2640.059105315321,PASS
F23,composition,GWO,7,1006,30,500,10,2300.0,2634.831235908176,334.83123590817604,2947.5835154795177,2634.831235908176,PASS
F23,composition,GWO,8,1007,30,500,10,2300.0,2636.747255091935,336.74725509193513,2982.7501214259705,2636.747255091935,PASS
F23,composition,GWO,9,1008,30,500,10,2300.0,2637.690395989431,337.6903959894312,3361.943640209615,2637.690395989431,PASS
F23,composition,GWO,10,1009,30,500,10,2300.0,2630.07790951005,330.0779095100502,3446.9051141247273,2630.07790951005,PASS
F23,composition,GWO,11,1010,30,500,10,2300.0,2633.734624132634,333.73462413263405,2831.3042967147762,2633.734624132634,PASS
F23,composition,GWO,12,1011,30,500,10,2300.0,2632.523521498168,332.52352149816807,3095.9508193752754,2632.523521498168,PASS
F23,composition,GWO,13,1012,30,500,10,2300.0,2633.807399390528,333.8073993905282,3002.489441131728,2633.807399390528,PASS
F23,composition,GWO,14,1013,30,500,10,2300.0,2630.006121069817,330.0061210698168,3290.2212395083693,2630.006121069817,PASS
F23,composition,GWO,15,1014,30,500,10,2300.0,2635.4153008777944,335.4153008777944,3150.4240097044476,2635.4153008777944,PASS
F23,composition,GWO,16,1015,30,500,10,2300.0,2630.762457810409,330.76245781040916,3210.189291997013,2630.762457810409,PASS
F23,composition,GWO,17,1016,30,500,10,2300.0,2639.23743333707,339.2374333370699,3224.2054265444976,2639.23743333707,PASS
F23,composition,GWO,18,1017,30,500,10,2300.0,2629.819686104267,329.819686104267,3654.7500935278213,2629.819686104267,PASS
F23,composition,GWO,19,1018,30,500,10,2300.0,2640.9294982933598,340.92949829335976,3060.448123337984,2640.9294982933598,PASS
F23,composition,GWO,20,1019,30,500,10,2300.0,2636.6995403662113,336.6995403662113,3377.9803554901764,2636.6995403662113,PASS
F23,composition,GWO,21,1020,30,500,10,2300.0,2636.1875872059954,336.18758720599544,3046.2160713971307,2636.1875872059954,PASS
F23,composition,GWO,22,1021,30,500,10,2300.0,2632.9760085409266,332.9760085409266,3003.6874945335844,2632.9760085409266,PASS
F23,composition,GWO,23,1022,30,500,10,2300.0,2633.496954375477,333.4969543754769,2926.9257658439033,2633.496954375477,PASS
F23,composition,GWO,24,1023,30,500,10,2300.0,2634.675561752969,334.67556175296886,3112.780823926878,2634.675561752969,PASS
F23,composition,GWO,25,1024,30,500,10,2300.0,2630.6281490680735,330.6281490680735,3087.630160754913,2630.6281490680735,PASS
F23,composition,GWO,26,1025,30,500,10,2300.0,2630.9629875553474,330.96298755534735,3702.8459887872427,2630.9629875553474,PASS
F23,composition,GWO,27,1026,30,500,10,2300.0,2636.9563609154616,336.9563609154616,3507.9113584698925,2636.9563609154616,PASS
