Variant,Function,Runs,Population,MaxIter,Dimension,Optimum,Best,Average,STD_sample_ddof1,STD_population_ddof0,Median,Worst
SCHO_NFTF,F23,30,30,500,4,-10.5363,-10.373340473780386,-6.612276962063126,3.05414329285436,3.002809497483598,-8.678707386512276,-2.2557349746754483
SCHO_NSF,F1,30,30,500,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHO_NSF,F2,30,30,500,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHO_NSF,F3,30,30,500,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHO_NSF,F4,30,30,500,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHO_NSF,F5,30,30,500,30,0.0,27.176759048170275,28.773717756937064,0.4294037092084543,0.4221863261238014,28.990109787925363,28.99628769706604
SCHO_NSF,F6,30,30,500,30,0.0,0.00029516065446696997,1.264287397791307,1.7806537323100438,1.75072464727515,0.09398095377188478,4.7308524419761575
SCHO_NSF,F7,30,30,500,30,0.0,4.9591094465339935e-06,0.00011485531679202853,0.00011401812803483542,0.00011210172048880064,7.648843467433775e-05,0.00057313278933524
SCHO_NSF,F8,30,30,500,30,-12569.487,-12563.578948952825,-7261.982202825205,2002.1713187889545,1968.5189839373486,-6299.96635817885,-4959.839118475585
SCHO_NSF,F9,30,30,500,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHO_NSF,F10,30,30,500,30,0.0,4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16
SCHO_NSF,F11,30,30,500,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHO_NSF,F12,30,30,500,30,0.0,1.424699966722095e-06,0.6531862721367879,0.6728390158238653,0.6615299916413465,0.49955950261694176,1.6528324964814178
SCHO_NSF,F13,30,30,500,30,0.0,2.9402942298551105e-05,2.0385096544177754,1.07256864601643,1.0545409982880074,2.538156439263724,2.9979286396384097
SCHO_NSF,F14,30,30,500,2,1.0,0.9980038377945748,4.903655891100574,4.8753560476812,4.793411454479951,2.982105156819009,12.670505811692196
SCHO_NSF,F15,30,30,500,4,0.0003,0.00030788962915948053,0.010779126550844944,0.017655071345445125,0.01735832632309345,0.0005537621730253961,0.0885411862627589
SCHO_NSF,F16,30,30,500,2,-1.0316,-1.0316284531448396,-1.0316284235220772,3.3995181895764357e-08,3.342379360657964e-08,-1.0316284350756022,-1.031628299704665
SCHO_NSF,F17,30,30,500,2,0.397887,0.3978873909919489,0.397889112579139,2.408269141300121e-06,2.367791146837169e-06,0.397888086764409,0.39789550260796425
SCHO_NSF,F18,30,30,500,2,3.0,3.0000001258761224,8.897108637972,17.372407220744023,17.080413194316478,3.000004047271579,92.03450038773764
SCHO_NSF,F19,30,30,500,3,-3.8628,-3.8627796592277917,-3.8625164397918734,0.0013978170708773047,0.0013743226737250635,-3.862774384794762,-3.8551156279111636
SCHO_NSF,F20,30,30,500,6,-3.322,-3.3222515468007576,-3.2781456031288743,0.06693928389598966,0.0658141737841551,-3.3219827288806876,-3.0767613506480807
SCHO_NSF,F21,30,30,500,4,-10.1532,-10.153179590406182,-8.791707984830953,2.276560561239646,2.2382963140207135,-10.134449420007005,-5.054965550225084
SCHO_NSF,F22,30,30,500,4,-10.4028,-10.402821947400746,-9.337115871663707,2.152961640660835,2.1167748341801564,-10.394863621655055,-5.087438659271799
SCHO_NSF,F23,30,30,500,4,-10.5363,-10.536283367854647,-9.66012499112494,2.2934585708840713,2.2549103032751034,-10.529393308719571,-2.869025826362884
SCHO_NFF,F1,30,30,500,30,0.0,1.2438306833355979e-17,1.6429202846007633e-12,3.972150062143138e-12,3.905386482664374e-12,2.5476076832698755e-13,2.149597762228863e-11
