Function,Family,Algorithm,Optimum,Paper_Best,Repro_Best,Paper_Mean,Repro_Mean,Paper_STD,Repro_STD_sample,Paper_Mean_Error,Repro_Mean_Error,Mean_Error_Ratio,Raw_Mean_Rel_Diff,Best_Error_Ratio,STD_Ratio,Agreement_Band,Notes
F9,Simple multimodal,GWO,900.0,907.97,906.0895294634452,921.03,918.5275505062567,10.719,10.013998984930067,21.029999999999973,18.527550506256716,0.8810057302071679,0.002717011925499991,0.7640563944096788,0.9342288445685295,Close (±25%),
F10,Simple multimodal,SCHO,1000.0,1085.2,1185.5987614405803,1448.4,1568.7547785654535,244.38,245.6307699593116,448.4000000000001,568.7547785654535,1.2684094080407078,0.08309498658205844,2.1783892187861533,1.005118135523822,Same order (×0.5–2),
F10,Simple multimodal,GWO,1000.0,1122.8,1139.9061284893987,1453.6,1357.2721420646583,292.18,186.88811333405675,453.5999999999999,357.2721420646583,0.7876369974970422,0.0662684768404937,1.13930072059771,0.6396334907730055,Same order (×0.5–2),
F11,Simple multimodal,SCHO,1100.0,1195.8,1383.3248588673569,1897.8,2003.7949202246614,350.8,369.5607785810506,797.8,903.7949202246614,1.1328590125653817,0.05585147024168059,2.9574619923523695,1.0534799845525957,Close (±25%),
F11,Simple multimodal,GWO,1100.0,1122.8,1125.8071333961134,1891.8,1674.5075105573899,403.78,272.2594610190029,791.8,574.5075105573899,0.7255714960310558,0.11486018048557463,1.1318918156190103,0.6742767373792732,Same order (×0.5–2),
F12,Simple multimodal,SCHO,1200.0,1200.4,1200.3018497614564,1200.8,1200.9377738098044,0.35115,0.38389750477773665,0.7999999999999545,0.9377738098044119,1.1722172622555815,0.00011473501815827567,0.7546244036408883,1.0932578806143718,Close (±25%),
F12,Simple multimodal,GWO,1200.0,1200.1,1200.1128610584851,1201.1,1201.3144932546295,0.76283,0.6419038023446844,1.099999999999909,1.3144932546294967,1.1949938678450958,0.00017858067990141345,1.1286105848522572,0.8414768721008408,Close (±25%),
F13,Simple multimodal,SCHO,1300.0,1300.3,1300.1855348634206,1300.5,1300.5870018692317,0.2083,0.2101003098643852,0.5,0.587001869231699,1.174003738463398,6.689878449188692e-05,0.6184495447353309,1.0086428702082821,Close (±25%),
F13,Simple multimodal,GWO,1300.0,1300.2,1300.102238021981,1300.3,1300.230681870809,0.070961,0.056676379946350164,0.2999999999999545,0.23068187080889402,0.7689395693630966,5.33093356848885e-05,0.5111901099052122,0.7986975936972445,Same order (×0.5–2),
F14,Simple multimodal,SCHO,1400.0,1400.1,1400.226830295567,1400.7,1401.0941991668392,0.97179,1.3416016322294853,0.7000000000000455,1.0941991668391893,1.563141666913026,0.0002814301183973326,2.2683029556717593,1.380546859125413,Same order (×0.5–2),
F14,Simple multimodal,GWO,1400.0,1400.2,1400.1546066142037,1400.4,1400.3883158506264,0.21205,0.22838078644387705,0.40000000000009095,0.3883158506264408,0.9707896265658813,8.343437141995246e-06,0.773033071018114,1.077013847884353,Close (±25%),
F15,Simple multimodal,SCHO,1500.0,1501.7,1503.0640652646694,1507.5,1537.253380027974,11.348,107.0350339746745,7.5,37.25338002797389,4.967117337063185,0.019736902174443707,1.8023913321583944,9.432061506404168,Notable deviation,Mean excess-error >2× paper.
F15,Simple multimodal,GWO,1500.0,1500.6,1500.6984226252757,1502.7,1502.1822808396757,1.1222,0.91243530635073,2.7000000000000455,2.182280839675741,0.8082521628428534,0.0003445259601545914,1.164037708793052,0.8130772646148012,Close (±25%),
F16,Simple multimodal,SCHO,1600.0,1602.3,1602.7248680470439,1603.3,1603.43457325369,0.50955,0.2778351630300841,3.2999999999999545,3.434573253689905,1.04077977384544,8.393516727371699e-05,1.184725237845178,0.5452559376510335,Close (±25%),
F16,Simple multimodal,GWO,1600.0,1601.8,1601.7985900077792,1603.0,1602.9203723153335,0.45711,0.5162005285861078,3.0,2.920372315333452,0.9734574384444841,4.9674163859356076e-05,0.9992166709884915,1.1292698225506066,Close (±25%),
F17,Hybrid,SCHO,1700.0,3101.4,2735.470314533587,181040.0,289092.1622991387,247500.0,274209.61735440604,179340.0,287392.1622991387,1.6024989533798302,0.5968413737248052,0.7388827704678086,1.107917645876388,Same order (×0.5–2),
F17,Hybrid,GWO,1700.0,2936.3,3751.5016273840406,210610.0,133505.71502113764,226060.0,196130.84272048582,208910.0,131805.71502113764,0.6309210426553906,0.3660998289675816,1.659388196541325,0.8676052495819067,Same order (×0.5–2),
F18,Hybrid,SCHO,1800.0,2071.4,1966.7525900920843,7958.8,12977.986351513968,6597.1,10732.255280434942,6158.8,11177.986351513968,1.8149617379219924,0.6306461214647896,0.6144163231101116,1.6268140971692018,Same order (×0.5–2),
F18,Hybrid,GWO,1800.0,2043.7,2095.009199614797,11124.0,11641.913049528583,8139.1,9955.136813404548,9324.0,9841.913049528583,1.0555462301081706,0.04655816698387115,1.2105424686696638,1.2231250154690994,Close (±25%),
F19,Hybrid,SCHO,1900.0,1902.0,1901.67959619937,1903.7,1907.3968963066727,1.3994,12.977430931423978,3.7000000000000455,7.396896306672716,1.9991611639655742,0.0019419531999121027,0.8397980996850265,9.27356790869228,Same order (×0.5–2),
F19,Hybrid,GWO,1900.0,1901.6,1901.516214931514,1903.3,1903.0273467161053,1.3518,1.0641292464096817,3.2999999999999545,3.027346716105285,0.9173777927591898,0.0001432529206613091,0.9476343321963127,0.7871942938376104,Close (±25%),
F20,Hybrid,SCHO,2000.0,2363.3,2128.0524729115227,8303.1,13337.749288588953,6794.5,8260.092650677527,6303.1,11337.749288588953,1.7987576412541373,0.6063577806589048,0.3524703355670869,1.2157027964791414,Same order (×0.5–2),
F20,Hybrid,GWO,2000.0,2145.1,2113.014917091181,10084.0,9330.191419003237,7367.0,5361.966874938868,8084.0,7330.191419003237,0.9067530206584904,0.0747529334586239,0.7788760654113093,0.727835872802887,Close (±25%),
F21,Hybrid,SCHO,2100.0,2673.1,2487.166033065017,10567.0,573062.1203783437,6877.3,2969010.5346857244,8467.0,570962.1203783437,67.4338160361809,53.2312974712164,0.6755645316088241,431.71165060208574,Major deviation,Major instability/outlier effect; mean excess-error ~67× paper.
F21,Hybrid,GWO,2100.0,3916.6,2867.525387203684,10589.0,8632.306132021946,5423.0,5657.3363452101,8489.0,6532.306132021946,0.7695024304419774,0.18478551968817208,0.4225065436550062,1.0432115702028582,Same order (×0.5–2),
F22,Hybrid,SCHO,2200.0,2226.8,2227.915739672633,2325.5,2357.965381200053,85.554,85.81880034502854,125.5,157.9653812000529,1.258688296414764,0.013960602537111542,1.0416320773370529,1.0030951252428704,Same order (×0.5–2),
F22,Hybrid,GWO,2200.0,2226.9,2223.0565282411662,2311.4,2296.060289818022,56.703,60.81765433114422,111.40000000000009,96.06028981802183,0.8623006267326908,0.0066365450298426325,0.8571200089652846,1.0725650200367567,Close (±25%),
F23,Composition,SCHO,2300.0,2311.8,2500.0,2493.7,2500.0,34.361,0.0,193.69999999999982,200.0,1.0325245224574093,0.0025263664434375353,16.94915254237262,0.0,Close (±25%),"Our 30 runs all ended at 2500 (STD=0); paper Best=2311.8, STD>0."
F23,Composition,GWO,2300.0,2629.5,2629.819686104267,2634.6,2634.3956742733335,5.7748,3.8155915717215185,334.5999999999999,334.3956742733335,0.9993893433154022,7.755474328794176e-05,1.0009702157944371,0.660731379739821,Close (±25%),
F24,Composition,SCHO,2400.0,2524.3,2518.3012840727633,2560.1,2570.406575012411,26.101,27.991089486057557,160.0999999999999,170.40657501241094,1.0643758589157466,0.004025848604511945,0.951740016675488,1.0724144471881367,Close (±25%),
F24,Composition,GWO,2400.0,2510.4,2515.3271281436755,2552.5,2543.8757834801004,35.929,32.20372626131989,152.5,143.87578348010038,0.9434477605252484,0.0033787332105385385,1.0446297839101033,0.8963156854162345,Close (±25%),
F25,Composition,SCHO,2500.0,2650.7,2667.418100451912,2694.3,2697.7398498122143,10.98,6.400587605719195,194.30000000000018,197.7398498122143,1.0177038075770155,0.0012767137335167227,1.1109363002781159,0.5829314759307098,Close (±25%),
F25,Composition,GWO,2500.0,2668.8,2688.685458449153,2698.9,2699.6760439665063,7.4679,2.986968132477153,198.9000000000001,199.6760439665063,1.0039016790674018,0.00028754083756575723,1.1178048486324217,0.39997430770057885,Close (±25%),
F26,Composition,SCHO,2600.0,2700.2,2700.241387990237,2700.5,2700.677049235507,0.33159,0.6540004794866645,100.5,100.67704923550718,1.0017616839353949,6.556164988231207e-05,1.0004130537947817,1.97231665456336,Close (±25%),
F26,Composition,GWO,2600.0,2700.1,2700.1209823301215,2703.5,2700.2127678944644,18.226,0.06705269909674678,103.5,100.21276789446438,0.9682393033281582,0.001215917183479054,1.0002096136875283,0.0036789585809693178,Close (±25%),
F27,Composition,SCHO,2700.0,2703.9,2900.0,2868.3,2900.0,72.135,0.0,168.30000000000018,200.0,1.1883541295305988,0.01105184255482335,51.282051282050084,0.0,Close (±25%),Our 30 runs all ended at 2900 (STD=0); paper reports variable outcomes.
F27,Composition,GWO,2700.0,2703.3,2704.1197321729783,3004.6,3054.8216792360713,139.07,73.97975529887465,304.5999999999999,354.8216792360713,1.1648774761525653,0.016714930185739,1.2484036887812264,0.5319605615795977,Close (±25%),
F28,Composition,SCHO,2800.0,3000.0,3000.0,3000.0,3000.0,0.0,0.0,200.0,200.0,1.0,0.0,1.0,1.0,Close (±25%),"Exact plateau match: Mean=3000, STD=0 in both."
F28,Composition,GWO,2800.0,3169.3,3169.5690940185714,3251.5,3258.3576218775456,52.321,58.097522077494126,451.5,458.3576218775456,1.015188531290245,0.002109064086589459,1.0007286596766076,1.1104054218668247,Close (±25%),
F29,Composition,SCHO,2900.0,3100.0,3100.0,3980.8,4507.119925037795,1986.8,1715.8970515759108,1080.8000000000002,1607.119925037795,1.4869725435212755,0.13221461139414056,1.0,0.863648606591459,Same order (×0.5–2),
F29,Composition,GWO,2900.0,3227.4,3278.072771638337,357840.0,445515.4471642074,824600.0,963382.4682262253,354940.0,442615.4471642074,1.2470148395903742,0.24501298670972335,1.1547732792863075,1.1683027749529775,Close (±25%),
F30,Composition,SCHO,3000.0,3200.0,3200.0,3558.3,3749.8766172367177,618.21,744.6319288432535,558.3000000000002,749.8766172367177,1.3431427856649067,0.053839366336935486,1.0,1.204496738718645,Same order (×0.5–2),
F30,Composition,GWO,3000.0,3601.1,3535.98381665175,4345.5,4459.353032412864,690.83,633.1185679821914,1345.5,1459.3530324128642,1.0846176383596167,0.026200214569753584,0.8916716297650146,0.9164607327159958,Close (±25%),
