Function,Dimension,Run,OptimizerSeed,ObjectiveSeed,Population,MaxIter,LowerBound,UpperBound,Optimum,BestScore,Curve0,CurveLast,ElapsedSeconds,Status
F3,100,9,1008,8000309,30,500,-100.0,100.0,0.0,0.0,1877435.730938767,0.0,6.660228499997174,PASS
F3,100,11,1010,8000311,30,500,-100.0,100.0,0.0,0.0,941537.5565167082,0.0,6.676921699996456,PASS
F3,100,10,1009,8000310,30,500,-100.0,100.0,0.0,0.0,1224172.9419173182,0.0,6.940002799994545,PASS
F3,100,12,1011,8000312,30,500,-100.0,100.0,0.0,0.0,1063297.1501152918,0.0,7.009877100004815,PASS
F3,100,14,1013,8000314,30,500,-100.0,100.0,0.0,0.0,1292992.9435368048,0.0,7.39087770000333,PASS
F3,100,15,1014,8000315,30,500,-100.0,100.0,0.0,0.0,1245125.5144227108,0.0,7.4847871999954805,PASS
F3,100,13,1012,8000313,30,500,-100.0,100.0,0.0,0.0,2022382.3526250555,0.0,7.823192099996959,PASS
F3,100,16,1015,8000316,30,500,-100.0,100.0,0.0,0.0,1216550.7943785759,0.0,7.8363289999979315,PASS
F3,100,17,1016,8000317,30,500,-100.0,100.0,0.0,0.0,1736071.8951261858,0.0,7.798136599987629,PASS
F3,100,18,1017,8000318,30,500,-100.0,100.0,0.0,0.0,1224205.0145585143,0.0,7.717081399998278,PASS
F3,100,20,1019,8000320,30,500,-100.0,100.0,0.0,0.0,1110698.4632126836,0.0,7.7957783000019845,PASS
F3,100,19,1018,8000319,30,500,-100.0,100.0,0.0,0.0,1241045.7486015041,0.0,7.893531800000346,PASS
F3,100,24,1023,8000324,30,500,-100.0,100.0,0.0,0.0,1298576.344277988,0.0,6.3483599000028335,PASS
F3,100,22,1021,8000322,30,500,-100.0,100.0,0.0,0.0,2687988.902494778,0.0,6.4124412999954075,PASS
F3,100,21,1020,8000321,30,500,-100.0,100.0,0.0,0.0,1362888.0217191342,0.0,6.452048399994965,PASS
F3,100,23,1022,8000323,30,500,-100.0,100.0,0.0,0.0,1220051.6767641676,0.0,6.441745299991453,PASS
F3,100,26,1025,8000326,30,500,-100.0,100.0,0.0,0.0,841365.9936652245,0.0,6.8610764000040945,PASS
F3,100,25,1024,8000325,30,500,-100.0,100.0,0.0,0.0,2579653.6356280628,0.0,6.932017400002223,PASS
F3,100,27,1026,8000327,30,500,-100.0,100.0,0.0,0.0,923812.9670097517,0.0,7.01786579999316,PASS
F3,100,28,1027,8000328,30,500,-100.0,100.0,0.0,0.0,1699216.3954281455,0.0,7.046899399996619,PASS
F3,100,29,1028,8000329,30,500,-100.0,100.0,0.0,0.0,1472482.5588164574,0.0,6.348141800001031,PASS
