Function,Family,Algorithm,Run,Seed,Population,MaxIter,Dimension,Optimum,BestScore,Error,Curve0,CurveLast,Status
F2,unimodal,SCHO,27,1026,30,500,10,200.0,922765997.1185615,922765797.1185615,24153309797.421314,922765997.1185615,PASS
F2,unimodal,SCHO,28,1027,30,500,10,200.0,929127880.8612851,929127680.8612851,18261753667.10032,929127880.8612851,PASS
F2,unimodal,SCHO,29,1028,30,500,10,200.0,1670343.6145967452,1670143.6145967452,16645069965.361576,1670343.6145967452,PASS
F2,unimodal,SCHO,30,1029,30,500,10,200.0,2297691903.805974,2297691703.805974,21158401990.89523,2297691903.805974,PASS
F3,unimodal,GWO,1,1000,30,500,10,300.0,25321.908802666814,25021.908802666814,19967857.191806484,25321.908802666814,PASS
F3,unimodal,GWO,2,1001,30,500,10,300.0,7266.770968443972,6966.770968443972,552938.7455873732,7266.770968443972,PASS
F3,unimodal,GWO,3,1002,30,500,10,300.0,12896.75384869874,12596.75384869874,17161624.838119563,12896.75384869874,PASS
F3,unimodal,GWO,4,1003,30,500,10,300.0,12724.938507625746,12424.938507625746,264700.1233145243,12724.938507625746,PASS
F3,unimodal,GWO,5,1004,30,500,10,300.0,12636.382747674066,12336.382747674066,16173159.378439907,12636.382747674066,PASS
F3,unimodal,GWO,6,1005,30,500,10,300.0,9150.02708745227,8850.02708745227,185851.35597810536,9150.02708745227,PASS
F3,unimodal,GWO,7,1006,30,500,10,300.0,11061.977080756003,10761.977080756003,21950398.452396136,11061.977080756003,PASS
F3,unimodal,GWO,8,1007,30,500,10,300.0,2612.151720826753,2312.151720826753,58979.29981558297,2612.151720826753,PASS
F3,unimodal,GWO,9,1008,30,500,10,300.0,25301.207521780583,25001.207521780583,563686.3818729435,25301.207521780583,PASS
F3,unimodal,GWO,10,1009,30,500,10,300.0,4372.100614369625,4072.100614369625,16189845.096026335,4372.100614369625,PASS
F3,unimodal,GWO,11,1010,30,500,10,300.0,3028.9521132665327,2728.9521132665327,30164302.742947765,3028.9521132665327,PASS
F3,unimodal,GWO,12,1011,30,500,10,300.0,17915.54658440759,17615.54658440759,8541317.0920469,17915.54658440759,PASS
F3,unimodal,GWO,13,1012,30,500,10,300.0,14044.086354314593,13744.086354314593,101184.1462604654,14044.086354314593,PASS
F3,unimodal,GWO,14,1013,30,500,10,300.0,12224.84970919784,11924.84970919784,340693.74270852085,12224.84970919784,PASS
F3,unimodal,GWO,15,1014,30,500,10,300.0,16669.226550811865,16369.226550811865,7193178.292260946,16669.226550811865,PASS
F3,unimodal,GWO,16,1015,30,500,10,300.0,6546.097834464225,6246.097834464225,2526555.287770817,6546.097834464225,PASS
F3,unimodal,GWO,17,1016,30,500,10,300.0,18835.87002741992,18535.87002741992,4164924.0708102267,18835.87002741992,PASS
F3,unimodal,GWO,18,1017,30,500,10,300.0,14999.684934561916,14699.684934561916,124922223.82731238,14999.684934561916,PASS
F3,unimodal,GWO,19,1018,30,500,10,300.0,14626.843754681411,14326.843754681411,1699580.6598156593,14626.843754681411,PASS
F3,unimodal,GWO,20,1019,30,500,10,300.0,2627.4443467809515,2327.4443467809515,6988380.383335441,2627.4443467809515,PASS
F3,unimodal,GWO,21,1020,30,500,10,300.0,6007.275836561523,5707.275836561523,237494.6528716233,6007.275836561523,PASS
F3,unimodal,GWO,22,1021,30,500,10,300.0,9137.307696184596,8837.307696184596,133523.79979814624,9137.307696184596,PASS
F3,unimodal,GWO,23,1022,30,500,10,300.0,5907.506808825701,5607.506808825701,41170329.22201325,5907.506808825701,PASS
F3,unimodal,GWO,24,1023,30,500,10,300.0,5551.148679145613,5251.148679145613,31777984.557790805,5551.148679145613,PASS
