Variant,Function,Run,OptimizerSeed,ObjectiveSeed,Population,MaxIter,Dimension,LowerBound,UpperBound,Optimum,BestScore,Curve0,CurveLast,ElapsedSeconds,Status
SCHO,F3,7,1006,4024307,30,500,30,-100,100,0.0,0.0,133484.8315350889,0.0,2.08909959999437,PASS
SCHO,F3,9,1008,4024309,30,500,30,-100,100,0.0,0.0,135241.10379381198,0.0,1.9847644999972545,PASS
SCHO,F3,10,1009,4024310,30,500,30,-100,100,0.0,0.0,107976.19188391927,0.0,2.011560900005861,PASS
SCHO,F3,11,1010,4024311,30,500,30,-100,100,0.0,0.0,258402.473983956,0.0,1.9993929000047501,PASS
SCHO,F3,12,1011,4024312,30,500,30,-100,100,0.0,0.0,137478.41138112583,0.0,2.044753900001524,PASS
SCHO,F3,13,1012,4024313,30,500,30,-100,100,0.0,0.0,157787.82385873256,0.0,1.9787071000027936,PASS
SCHO,F3,14,1013,4024314,30,500,30,-100,100,0.0,0.0,166657.1711129854,0.0,1.961886399993091,PASS
SCHO,F3,16,1015,4024316,30,500,30,-100,100,0.0,0.0,294151.3375734341,0.0,2.066884800005937,PASS
SCHO,F3,15,1014,4024315,30,500,30,-100,100,0.0,0.0,221992.0552764344,0.0,2.096289599998272,PASS
SCHO,F3,17,1016,4024317,30,500,30,-100,100,0.0,0.0,119365.44128648656,0.0,2.05913330000476,PASS
SCHO,F3,18,1017,4024318,30,500,30,-100,100,0.0,0.0,245433.61431170706,0.0,2.1196725999907358,PASS
SCHO,F3,20,1019,4024320,30,500,30,-100,100,0.0,0.0,161467.97997834763,0.0,2.030098499992164,PASS
SCHO,F3,19,1018,4024319,30,500,30,-100,100,0.0,0.0,244606.59772993292,0.0,2.077636400004849,PASS
SCHO,F3,21,1020,4024321,30,500,30,-100,100,0.0,0.0,126211.38335020539,0.0,2.0408170000009704,PASS
SCHO,F3,22,1021,4024322,30,500,30,-100,100,0.0,0.0,135794.76099693272,0.0,2.105095600010827,PASS
SCHO,F3,24,1023,4024324,30,500,30,-100,100,0.0,0.0,113871.83421879425,0.0,2.111573900008807,PASS
