Variant,Function,Run,OptimizerSeed,ObjectiveSeed,Population,MaxIter,Dimension,BestScore,Curve0,CurveLast,ElapsedSeconds,Status
V1,F4,24,1023,4024424,30,500,30,0.0,86.34666057993036,0.0,1.7592221000086283,PASS
V1,F4,23,1022,4024423,30,500,30,0.0,86.36772034124569,0.0,1.7840430999931414,PASS
V1,F4,26,1025,4024426,30,500,30,0.0,92.17294370207554,0.0,1.8187305000028573,PASS
V1,F4,28,1027,4024428,30,500,30,0.0,88.89385763229512,0.0,1.6675191999966046,PASS
V1,F4,27,1026,4024427,30,500,30,0.0,90.2554612114578,0.0,1.7246451000100933,PASS
V1,F4,30,1029,4024430,30,500,30,0.0,90.25056319313495,0.0,1.6156895000021905,PASS
V1,F4,29,1028,4024429,30,500,30,0.0,88.97595126021793,0.0,1.6687819999933708,PASS
V1,F5,4,1003,4024504,30,500,30,28.826214399504863,314425104.8265708,28.826214399504863,1.7159939000121085,PASS
V1,F5,2,1001,4024502,30,500,30,28.64230324415114,265509719.66763252,28.64230324415114,1.7806807000015397,PASS
V1,F5,1,1000,4024501,30,500,30,27.92522843573846,262803966.06144178,27.92522843573846,1.8329465999995591,PASS
V1,F5,3,1002,4024503,30,500,30,26.711592204135204,290152790.99322855,26.711592204135204,1.8254714000067906,PASS
V1,F5,5,1004,4024505,30,500,30,28.80468113068543,264814459.6730534,28.80468113068543,1.7788361999992048,PASS
V1,F5,6,1005,4024506,30,500,30,27.986054810712886,275607877.05815667,27.986054810712886,1.818493099999614,PASS
V1,F5,7,1006,4024507,30,500,30,28.824510933652114,275703968.057919,28.824510933652114,1.7749915000022156,PASS
V1,F5,8,1007,4024508,30,500,30,27.99937555177982,196990313.2842615,27.99937555177982,1.7891949000040768,PASS
V1,F5,11,1010,4024511,30,500,30,26.056079496446582,311741780.6244718,26.056079496446582,1.8308446000010008,PASS
V1,F5,10,1009,4024510,30,500,30,27.90296966254044,275312500.08404154,27.90296966254044,1.857017399990582,PASS
V1,F5,12,1011,4024512,30,500,30,28.657622386729578,135783553.73670316,28.657622386729578,1.8563102999905823,PASS
V1,F5,9,1008,4024509,30,500,30,27.984903150885547,264277025.01725703,27.984903150885547,1.9006247999932384,PASS
V1,F5,14,1013,4024514,30,500,30,28.762649256889755,198137301.02750832,28.762649256889755,1.7414739999949234,PASS
V1,F5,13,1012,4024513,30,500,30,28.755537922079284,223922765.9861003,28.755537922079284,1.7728046999982325,PASS
