Function,Canonical,Variant,Run,Seed,Population,MaxIter,Dimension,LowerBound,UpperBound,Optimum,BestScore,Curve0,CurveLast,ElapsedSeconds,Status
F24,CF1,source_faithful,20,1019,30,500,10,-5.0,5.0,0.0,300.00227168202645,627.8780401374444,300.00227168202645,2.709325899995747,PASS
F24,CF1,source_faithful,21,1020,30,500,10,-5.0,5.0,0.0,206.20078218262424,456.09160803916046,206.20078218262424,2.723493600002257,PASS
F24,CF1,source_faithful,22,1021,30,500,10,-5.0,5.0,0.0,6.648822999307898,775.1737955345063,6.648822999307898,2.734026999998605,PASS
F24,CF1,source_faithful,23,1022,30,500,10,-5.0,5.0,0.0,0.9836910056933188,656.5283343731868,0.9836910056933188,2.7121286999899894,PASS
F24,CF1,source_faithful,24,1023,30,500,10,-5.0,5.0,0.0,0.4716025785143242,534.5655299684981,0.4716025785143242,3.0161454000044614,PASS
F24,CF1,source_faithful,25,1024,30,500,10,-5.0,5.0,0.0,101.76820276103835,723.9318524200717,101.76820276103835,2.878400599991437,PASS
F24,CF1,source_faithful,26,1025,30,500,10,-5.0,5.0,0.0,208.55121513279764,467.18495795719275,208.55121513279764,2.7845646999921883,PASS
F24,CF1,source_faithful,27,1026,30,500,10,-5.0,5.0,0.0,102.36348359090448,695.6360454517633,102.36348359090448,2.7855465000029653,PASS
F24,CF1,source_faithful,28,1027,30,500,10,-5.0,5.0,0.0,100.02083735951483,683.6676117812782,100.02083735951483,2.8004653999960283,PASS
F24,CF1,source_faithful,29,1028,30,500,10,-5.0,5.0,0.0,5.792367529279569,392.386277188809,5.792367529279569,2.743240900003002,PASS
F24,CF1,source_faithful,30,1029,30,500,10,-5.0,5.0,0.0,208.9184553465827,639.8076410053457,208.9184553465827,2.7565563000098336,PASS
F25,CF2,source_faithful,1,1000,30,500,10,-5.0,5.0,0.0,444.62425578927946,906.2832581301884,444.62425578927946,4.356360200006748,PASS
F25,CF2,source_faithful,2,1001,30,500,10,-5.0,5.0,0.0,144.0854969115875,888.2356047543469,144.0854969115875,4.378770900002564,PASS
F25,CF2,source_faithful,3,1002,30,500,10,-5.0,5.0,0.0,208.73688618655677,608.6606155765963,208.73688618655677,4.328477999995812,PASS
F25,CF2,source_faithful,4,1003,30,500,10,-5.0,5.0,0.0,122.90085836478046,928.9956624937312,122.90085836478046,5.529662699991604,PASS
F25,CF2,source_faithful,5,1004,30,500,10,-5.0,5.0,0.0,206.7420823622904,777.5972604046108,206.7420823622904,5.294827999998233,PASS
F25,CF2,source_faithful,6,1005,30,500,10,-5.0,5.0,0.0,223.84963950530116,658.7583740049057,223.84963950530116,4.941826399997808,PASS
F25,CF2,source_faithful,7,1006,30,500,10,-5.0,5.0,0.0,206.49611536792193,838.0084122923398,206.49611536792193,4.945236400002614,PASS
F25,CF2,source_faithful,8,1007,30,500,10,-5.0,5.0,0.0,136.76801127249925,736.5159741509339,136.76801127249925,4.932940699989558,PASS
F25,CF2,source_faithful,9,1008,30,500,10,-5.0,5.0,0.0,50.39859354793934,858.3363039686847,50.39859354793934,6.2916930000064895,PASS
F25,CF2,source_faithful,10,1009,30,500,10,-5.0,5.0,0.0,218.17613496017904,828.1243914844783,218.17613496017904,5.884993400002713,PASS
F25,CF2,source_faithful,11,1010,30,500,10,-5.0,5.0,0.0,175.32367678058463,741.4446862639483,175.32367678058463,4.481530199991539,PASS
F25,CF2,source_faithful,12,1011,30,500,10,-5.0,5.0,0.0,176.19176453857852,786.5765234839921,176.19176453857852,4.838466899993364,PASS
F25,CF2,source_faithful,13,1012,30,500,10,-5.0,5.0,0.0,122.91531140763345,559.150529002281,122.91531140763345,4.492072900000494,PASS
F25,CF2,source_faithful,14,1013,30,500,10,-5.0,5.0,0.0,68.698326006866,666.3035054368379,68.698326006866,4.571486900007585,PASS
F25,CF2,source_faithful,15,1014,30,500,10,-5.0,5.0,0.0,327.51167885166956,953.7625044810845,327.51167885166956,4.764752300005057,PASS
F25,CF2,source_faithful,16,1015,30,500,10,-5.0,5.0,0.0,106.2794832678384,775.8299760037665,106.2794832678384,4.541360599992913,PASS
F25,CF2,source_faithful,17,1016,30,500,10,-5.0,5.0,0.0,53.622276912663864,578.6572541319142,53.622276912663864,4.485611600000993,PASS
F25,CF2,source_faithful,18,1017,30,500,10,-5.0,5.0,0.0,132.09787267091642,841.479497518592,132.09787267091642,4.60807110001042,PASS
F25,CF2,source_faithful,19,1018,30,500,10,-5.0,5.0,0.0,104.78494176352051,866.759827048998,104.78494176352051,5.902514500005054,PASS
F25,CF2,source_faithful,20,1019,30,500,10,-5.0,5.0,0.0,173.00229336369017,674.9638215061075,173.00229336369017,5.226949899995816,PASS
F25,CF2,source_faithful,21,1020,30,500,10,-5.0,5.0,0.0,214.23237807664967,552.1252903933373,214.23237807664967,6.840395599996555,PASS
F25,CF2,source_faithful,22,1021,30,500,10,-5.0,5.0,0.0,211.12716739565806,834.8743199731946,211.12716739565806,5.019867299997713,PASS
F25,CF2,source_faithful,23,1022,30,500,10,-5.0,5.0,0.0,15.432581936413255,540.4335134112341,15.432581936413255,4.500502800001414,PASS
F25,CF2,source_faithful,24,1023,30,500,10,-5.0,5.0,0.0,105.40615836520801,721.4487667968506,105.40615836520801,4.756312400000752,PASS
F25,CF2,source_faithful,25,1024,30,500,10,-5.0,5.0,0.0,200.3972513115431,738.2669981275407,200.3972513115431,4.564533700002357,PASS
F25,CF2,source_faithful,26,1025,30,500,10,-5.0,5.0,0.0,152.51846448561236,809.5386584322617,152.51846448561236,4.571563999998034,PASS
F25,CF2,source_faithful,27,1026,30,500,10,-5.0,5.0,0.0,213.071059740515,564.7746278491533,213.071059740515,4.491205500002252,PASS
F25,CF2,source_faithful,28,1027,30,500,10,-5.0,5.0,0.0,214.40942815169728,681.2690421013904,214.40942815169728,4.90352079999866,PASS
F25,CF2,source_faithful,29,1028,30,500,10,-5.0,5.0,0.0,124.48814539504765,784.0324212114014,124.48814539504765,4.736989499986521,PASS
F25,CF2,source_faithful,30,1029,30,500,10,-5.0,5.0,0.0,38.144128461159035,934.1679724878284,38.144128461159035,4.768196099990746,PASS
F26,CF3,source_faithful,1,1000,30,500,10,-5.0,5.0,0.0,200.5435500261865,1183.0546224385698,200.5435500261865,3.83328329998767,PASS
F26,CF3,source_faithful,2,1001,30,500,10,-5.0,5.0,0.0,113.10790306769823,1203.8134012887972,113.10790306769823,3.59501979999186,PASS
F26,CF3,source_faithful,3,1002,30,500,10,-5.0,5.0,0.0,167.4722614519365,1346.6786125515337,167.4722614519365,3.5651800999912666,PASS
F26,CF3,source_faithful,4,1003,30,500,10,-5.0,5.0,0.0,209.62169360785373,945.1714774368976,209.62169360785373,5.19303470000159,PASS
F26,CF3,source_faithful,5,1004,30,500,10,-5.0,5.0,0.0,279.423447698732,1156.8788586247852,279.423447698732,4.210568099995726,PASS
F26,CF3,source_faithful,6,1005,30,500,10,-5.0,5.0,0.0,170.6295326045612,1035.6022464867413,170.6295326045612,3.7098608999949647,PASS
F26,CF3,source_faithful,7,1006,30,500,10,-5.0,5.0,0.0,182.56295622851934,1080.9073731299993,182.56295622851934,3.8065418000041973,PASS
F26,CF3,source_faithful,8,1007,30,500,10,-5.0,5.0,0.0,264.97015503878424,1036.8721164438475,264.97015503878424,3.96714520000387,PASS
F26,CF3,source_faithful,9,1008,30,500,10,-5.0,5.0,0.0,194.07032081646915,1267.4176326441257,194.07032081646915,4.236138599997503,PASS
F26,CF3,source_faithful,10,1009,30,500,10,-5.0,5.0,0.0,130.39264626662376,1313.907138480564,130.39264626662376,4.200756999998703,PASS
F26,CF3,source_faithful,11,1010,30,500,10,-5.0,5.0,0.0,153.07971199983737,1084.228353221538,153.07971199983737,3.9000371000001905,PASS
F26,CF3,source_faithful,12,1011,30,500,10,-5.0,5.0,0.0,310.3711084436822,1079.263538634426,310.3711084436822,4.3018645999982255,PASS
F26,CF3,source_faithful,13,1012,30,500,10,-5.0,5.0,0.0,336.36372273843034,1026.756254989877,336.36372273843034,3.4788274000020465,PASS
F26,CF3,source_faithful,14,1013,30,500,10,-5.0,5.0,0.0,120.59520378101153,1140.2970820226735,120.59520378101153,3.4072427000064636,PASS
F26,CF3,source_faithful,15,1014,30,500,10,-5.0,5.0,0.0,197.6632355856029,1197.6338269872324,197.6632355856029,3.3814343999983976,PASS
F26,CF3,source_faithful,16,1015,30,500,10,-5.0,5.0,0.0,175.3085133940057,990.4853042219742,175.3085133940057,3.693441499999608,PASS
F26,CF3,source_faithful,17,1016,30,500,10,-5.0,5.0,0.0,223.7922189067734,879.9711891328327,223.7922189067734,3.5037321999989217,PASS
F26,CF3,source_faithful,18,1017,30,500,10,-5.0,5.0,0.0,245.04613196387714,1201.5637511655773,245.04613196387714,3.498848300005193,PASS
F26,CF3,source_faithful,19,1018,30,500,10,-5.0,5.0,0.0,205.49632189042111,1034.300246308087,205.49632189042111,3.912597500006086,PASS
F26,CF3,source_faithful,20,1019,30,500,10,-5.0,5.0,0.0,128.30484918985852,909.4355045485996,128.30484918985852,5.12842159999127,PASS
F26,CF3,source_faithful,21,1020,30,500,10,-5.0,5.0,0.0,205.85127175844187,985.6135026181043,205.85127175844187,3.443770699988818,PASS
F26,CF3,source_faithful,22,1021,30,500,10,-5.0,5.0,0.0,153.19459622415445,1166.8388504094098,153.19459622415445,3.406191399990348,PASS
F26,CF3,source_faithful,23,1022,30,500,10,-5.0,5.0,0.0,212.36171961767172,1038.711203971735,212.36171961767172,3.4158170000009704,PASS
F26,CF3,source_faithful,24,1023,30,500,10,-5.0,5.0,0.0,286.22253464335205,893.8985272787243,286.22253464335205,3.857094599996344,PASS
F26,CF3,source_faithful,25,1024,30,500,10,-5.0,5.0,0.0,123.71160009119852,1078.1552827812266,123.71160009119852,3.5933311999979196,PASS
F26,CF3,source_faithful,26,1025,30,500,10,-5.0,5.0,0.0,407.4027774575746,926.4631448414214,407.4027774575746,3.5528564999985974,PASS
F26,CF3,source_faithful,27,1026,30,500,10,-5.0,5.0,0.0,667.4796640880093,1084.4498651838826,667.4796640880093,3.601346299998113,PASS
F26,CF3,source_faithful,28,1027,30,500,10,-5.0,5.0,0.0,145.57682103880882,1052.239056550004,145.57682103880882,3.7335346000036225,PASS
F26,CF3,source_faithful,29,1028,30,500,10,-5.0,5.0,0.0,270.913113690348,1163.0438986970591,270.913113690348,3.524500600004103,PASS
F26,CF3,source_faithful,30,1029,30,500,10,-5.0,5.0,0.0,177.45816051683343,986.0780289768057,177.45816051683343,3.5480643000046257,PASS
F27,CF4,source_faithful,1,1000,30,500,10,-5.0,5.0,0.0,348.2443865574267,1236.7476769006175,348.2443865574267,4.720469499996398,PASS
F27,CF4,source_faithful,2,1001,30,500,10,-5.0,5.0,0.0,355.4984620206925,1036.9177420646135,355.4984620206925,5.057574699996621,PASS
F27,CF4,source_faithful,3,1002,30,500,10,-5.0,5.0,0.0,307.55268178281807,1092.5656835474188,307.55268178281807,4.9561566000047605,PASS
F27,CF4,source_faithful,4,1003,30,500,10,-5.0,5.0,0.0,735.3147497749295,1122.553748611238,735.3147497749295,6.117722199996933,PASS
F27,CF4,source_faithful,5,1004,30,500,10,-5.0,5.0,0.0,703.8264557196636,1172.5177955129552,703.8264557196636,5.822262800007593,PASS
F27,CF4,source_faithful,6,1005,30,500,10,-5.0,5.0,0.0,313.60863075243043,989.4431413953643,313.60863075243043,4.614249099991866,PASS
F27,CF4,source_faithful,7,1006,30,500,10,-5.0,5.0,0.0,309.66013402720097,886.3817249977529,309.66013402720097,4.703582899994217,PASS
F27,CF4,source_faithful,8,1007,30,500,10,-5.0,5.0,0.0,234.5502228924965,1139.470040497679,234.5502228924965,5.706748399999924,PASS
F27,CF4,source_faithful,9,1008,30,500,10,-5.0,5.0,0.0,615.6157408159987,1011.1871756490582,615.6157408159987,6.074655699994764,PASS
F27,CF4,source_faithful,10,1009,30,500,10,-5.0,5.0,0.0,611.1564944851203,908.2670573049575,611.1564944851203,5.729682499993942,PASS
F27,CF4,source_faithful,11,1010,30,500,10,-5.0,5.0,0.0,500.19889406417514,1252.6940724402803,500.19889406417514,6.157223400005023,PASS
F27,CF4,source_faithful,12,1011,30,500,10,-5.0,5.0,0.0,528.5106337437202,1090.9022849873827,528.5106337437202,5.332073300000047,PASS
F27,CF4,source_faithful,13,1012,30,500,10,-5.0,5.0,0.0,330.0293608550926,1350.3572353554803,330.0293608550926,5.164732999997796,PASS
F27,CF4,source_faithful,14,1013,30,500,10,-5.0,5.0,0.0,300.5341477784085,1026.1481852796717,300.5341477784085,4.782906199994613,PASS
F27,CF4,source_faithful,15,1014,30,500,10,-5.0,5.0,0.0,306.41113208621647,990.5270628437221,306.41113208621647,5.333949799998663,PASS
F27,CF4,source_faithful,16,1015,30,500,10,-5.0,5.0,0.0,431.5673900469621,943.9926774737214,431.5673900469621,6.204547799992724,PASS
F27,CF4,source_faithful,17,1016,30,500,10,-5.0,5.0,0.0,283.17892626690104,1209.8536121426914,283.17892626690104,4.869540899991989,PASS
F27,CF4,source_faithful,18,1017,30,500,10,-5.0,5.0,0.0,357.2377068149741,944.3298061643586,357.2377068149741,4.650921099993866,PASS
F27,CF4,source_faithful,19,1018,30,500,10,-5.0,5.0,0.0,286.6661009654165,718.559388735829,286.6661009654165,5.060085299992352,PASS
F27,CF4,source_faithful,20,1019,30,500,10,-5.0,5.0,0.0,318.8810567533056,1077.694070160674,318.8810567533056,4.814041899997392,PASS
F27,CF4,source_faithful,21,1020,30,500,10,-5.0,5.0,0.0,326.0892829769534,1007.7173263674433,326.0892829769534,4.671260899995104,PASS
F27,CF4,source_faithful,22,1021,30,500,10,-5.0,5.0,0.0,243.96339423631446,1104.7939074413905,243.96339423631446,4.852530600008322,PASS
F27,CF4,source_faithful,23,1022,30,500,10,-5.0,5.0,0.0,447.3940811153032,937.7583733956677,447.3940811153032,4.574223100004019,PASS
F27,CF4,source_faithful,24,1023,30,500,10,-5.0,5.0,0.0,616.9156305275998,975.103492663402,616.9156305275998,4.5815375999954995,PASS
F27,CF4,source_faithful,25,1024,30,500,10,-5.0,5.0,0.0,290.3704663052299,1089.3837494227164,290.3704663052299,4.90989469998749,PASS
F27,CF4,source_faithful,26,1025,30,500,10,-5.0,5.0,0.0,389.37706545882713,1202.2661687883876,389.37706545882713,4.5374183999956585,PASS
F27,CF4,source_faithful,27,1026,30,500,10,-5.0,5.0,0.0,299.6448737139734,1075.6727780331935,299.6448737139734,4.860535100000561,PASS
F27,CF4,source_faithful,28,1027,30,500,10,-5.0,5.0,0.0,431.94557509696705,1134.000648648457,431.94557509696705,6.357413599995198,PASS
F27,CF4,source_faithful,29,1028,30,500,10,-5.0,5.0,0.0,327.05686020326533,1170.0636877380068,327.05686020326533,4.702755399994203,PASS
F27,CF4,source_faithful,30,1029,30,500,10,-5.0,5.0,0.0,306.15782504259187,984.1958870863402,306.15782504259187,4.713477099998272,PASS
F28,CF5,source_faithful,1,1000,30,500,10,-5.0,5.0,0.0,231.66686174861147,763.4487447491963,231.66686174861147,5.014423499989789,PASS
F28,CF5,source_faithful,2,1001,30,500,10,-5.0,5.0,0.0,176.86693659486417,743.6770343671841,176.86693659486417,4.754503599993768,PASS
F28,CF5,source_faithful,3,1002,30,500,10,-5.0,5.0,0.0,6.173188156620295,799.6496346418129,6.173188156620295,4.671492800000124,PASS
F28,CF5,source_faithful,4,1003,30,500,10,-5.0,5.0,0.0,15.521337071128416,651.6185007099572,15.521337071128416,5.03020349999133,PASS
F28,CF5,source_faithful,5,1004,30,500,10,-5.0,5.0,0.0,11.724606854818003,535.4018669302859,11.724606854818003,4.91089890000876,PASS
